language,1A,20A,21A,22A,23A,24A,25A,26A,27A,28A,29A,30A,31A,32A,33A,34A,35A,36A,37A,38A,39A,3A,40A,41A,42A,43A,44A,45A,46A,47A,48A,49A,4A,50A,51A,52A,53A,54A,55A,56A,57A,58A,59A,5A,60A,61A,62A,63A,64A,65A,66A,67A,68A,69A,6A,70A,81A,82A,83A,84A,85A,86A,87A,88A,89A,8A,90A,91A,92A,93A,94A,95A,96A,97A,98A,99A,100A,101A,102A,103A,104A,105A,106A,107A,108A,109A,10A,110A,71A,72A,73A,74A,75A,76A,77A,78A,79A,7A,80A,111A,112A,113A,114A,115A,116A,117A,118A,119A,11A,120A
Sanskrit,Moderately large,Tonal/isolating,Monoexponential case,4-5 categories per word,Dependent marking,Dependent marking,Inconsistent or other,Strongly suffixing,Productive full and partial reduplication,No case marking,Not syncretic,Three,No gender,No gender,Plural suffix,"All nouns, always obligatory",Person stem + nominal plural affix,Associative same as additive plural,Definite affix,No definite or indefinite article,No inclusive/exclusive,Average,No person marking,Three-way contrast,Different inflection,Unrelated,No gender distinctions,Binary politeness distinction,Interrogative-based,Identical,No person marking,3 cases,In both plosives and fricatives,No case-marking,Case suffixes,Mixed,"First, second, three-th",Marked by preceding word,Obligatory,"Formally similar, without interrogative",No possessive affixes,Absent,No possessive classification,None missing in /p t k b d g/,Highly differentiated,Without marking,Possessive-Accusative,'And' different from 'with',Differentiation,Grammatical marking,No past tense,No inflectional future,No perfect,Tense-aspect suffixes,None,No second-person imperatives,SOV,SV,VO,No dominant order,Prepositions,Noun-Genitive,Noun-Adjective,Mixed,Numeral-Noun,"/l/, no obstruent laterals",Noun-Relative clause,Degree word-Adjective,Second position,Initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,OV and AdjN,Neutral,Nominative - accusative (standard),Accusative,Obligatory pronouns in subject position,Both the A and P arguments,No zero realization,A precedes P,Indirect-object construction,Distinct from reflexive,Present,No antipassive,Benefactive and other; both bases,Contrast absent,Both,Special imperative + special negative,Neither type of system,Inflectional optative absent,Verbal constructions,Other,Overlap for both possibility and necessity,No grammatical evidentials,Separate particle,Tense and aspect,No glottalized consonants,None,Neither,Negative particle,Asymmetric,A/Cat,Predicate negation also present,Question particle,'Have',Verbal encoding,Different,None,Impossible
Sardinian,Large,Exclusively concatenative,Case + number,2-3 categories per word,Double marking,Dependent marking,Head-marking,Weakly suffixing,Full reduplication only,No case marking,Syncretic,Two,Sex-based,No gender,Plural word,"All nouns, always obligatory",Person-number stem,No associative plural,No definite or indefinite article,No definite or indefinite article,No inclusive/exclusive,Moderately low,No person marking,Three-way contrast,Different stem,Related for all demonstratives,No gender distinctions,Binary politeness distinction,Interrogative-based,Differentiated,No person marking,10 or more cases,In both plosives and fricatives,No case-marking,Case suffixes,Mixed,"One-th, two-th, three-th",Marked by mixed or other strategies,Obligatory,Formally different,No possessive affixes,Absent,No possessive classification,Missing /p/,Highly differentiated,Marked by preceding word,Sentential,'And' different from 'with',Differentiation,No grammatical marking,"Present, no remoteness distinctions",No inflectional future,Other perfect,Tense-aspect suffixes,Uvular stops and continuants,No second-person imperatives,SVO,SV,VO,VOX,Prepositions,Noun-Genitive,Adjective-Noun,Mixed,Numeral-Noun,"/l/, no obstruent laterals",Noun-Relative clause,Degree word-Adjective,Second position,Not initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,VO and NAdj,Nominative - accusative (standard),Ergative - absolutive,Neutral,Optional pronouns in subject position,No person marking,No zero realization,A and P do not or do not both occur on the verb,Indirect-object construction,Distinct from reflexive,Present,No antipassive,No applicative construction,Contrast absent,Sequential but no purposive,Normal imperative + special negative,Maximal system,Inflectional optative absent,Verbal constructions,Affixes on verbs,Overlap for either possibility or necessity,No grammatical evidentials,No grammatical evidentials,None,No glottalized consonants,"Singular-plural pairs, suppletion",Morphological but no compound,Variation between negative word and affix,Symmetric,A/Fin,Predicate negation also present,Interrogative intonation only,Topic,Nonverbal encoding,Identical,None,Possible
Scots,Average,Exclusively isolating,Monoexponential case,2-3 categories per word,Dependent marking,Head marking,Inconsistent or other,Strongly suffixing,Full reduplication only,No syncretism,No subject person/number marking,None,No gender,Semantic and formal,Plural suffix,"All nouns, always obligatory",Person-number stem,Unique affixal associative plural,"No definite, but indefinite article",Indefinite word distinct from 'one',No inclusive/exclusive,Moderately low,No person marking,Three-way contrast,Identical,Unrelated,No gender distinctions,No politeness distinction,Interrogative-based,Identical,No person marking,10 or more cases,In plosives alone,Additive-quantitatively asymmetrical,Case suffixes,Identity,"First, two-th, three-th",Marked by reduplication,Obligatory,Formally different,No possessive affixes,Absent,No possessive classification,None missing in /p t k b d g/,Highly differentiated,Without marking,Sentential,'And' different from 'with',Identity,No grammatical marking,"Present, no remoteness distinctions",No inflectional future,No perfect,Tense-aspect suffixes,None,Second singular and second plural,SOV,SV,OV,VOX,Postpositions,Noun-Genitive,Noun-Adjective,Demonstrative-Noun,Numeral-Noun,"Laterals, but no /l/, no obstruent laterals",Mixed,Degree word-Adjective,No question particle,Initial interrogative phrase,Initial subordinator word,OV and Postpositions,VO and NRel,OV and AdjN,Ergative - absolutive,Nominative - accusative (standard),Ergative,Subject pronouns in different position,Only the A argument,No zero realization,A and P do not or do not both occur on the verb,Mixed,Distinct from reflexive,Present,No antipassive,No applicative construction,Contrast absent,Purposive but no sequential,Special imperative + special negative,Neither type of system,Inflectional optative absent,Verbal constructions,Verbal constructions,No overlap,Indirect only,No grammatical evidentials,Tense and aspect,No glottalized consonants,None,Morphological but no compound,Negative particle,Symmetric,A/Cat,Predicate negation also present,Question particle,'Have',Nonverbal encoding,Identical,High only,Impossible
Serbian,Average,Exclusively concatenative,No case,4-5 categories per word,Double marking,Head marking,Dependent-marking,Strongly suffixing,No productive reduplication,No case marking,No subject person/number marking,None,Sex-based,No gender,Plural suffix,"All nouns, always obligatory",Person-number stem,No associative plural,No definite or indefinite article,Indefinite word distinct from 'one',No inclusive/exclusive,Average,No inclusive/exclusive,Two-way contrast,Identical,Unrelated,No gender distinctions,Binary politeness distinction,Interrogative-based,Identical,No person marking,10 or more cases,In plosives alone,No case-marking,Postpositional clitics,Differentiation,"First, two-th, three-th",Marked by prefix,Absent,Formally different,No possessive affixes,Absent,No possessive classification,None missing in /p t k b d g/,Highly differentiated,Without marking,Double-Possessive,'And' different from 'with',Identity,Grammatical marking,"Present, no remoteness distinctions",No inflectional future,Other perfect,Tense-aspect suffixes,None,Second person number-neutral,SVO,SV,VO,OXV,Prepositions,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Noun-Numeral,"/l/, no obstruent laterals",Relative clause-Noun,Degree word-Adjective,No question particle,Mixed,Initial subordinator word,VO and Prepositions,VO and NRel,OV and AdjN,Nominative - accusative (standard),Neutral,Neutral,Subject affixes on verb,Only the A argument,No zero realization,A precedes P,Mixed,Distinct from reflexive,Present,No antipassive,No applicative construction,Contrast absent,Sequential but no purposive,Normal imperative + normal negative,Maximal system,Inflectional optative absent,Verbal constructions,Other,Overlap for either possibility or necessity,No grammatical evidentials,Verbal affix or clitic,None,No glottalized consonants,None,Morphological but no compound,"Negative word, unclear if verb or particle",Asymmetric,A/Fin,Predicate negation also present,Question particle,Locational,Nonverbal encoding,Identical,None,Possible
Serbo-Croatian,Large,Isolating/concatenative,Monoexponential case,2-3 categories per word,Dependent marking,Dependent marking,Inconsistent or other,Strongly suffixing,Full reduplication only,Core and non-core,Not syncretic,None,No gender,No gender,Plural suffix,"All nouns, always obligatory",Person-number stem + pronominal plural affix,Unique affixal associative plural,Definite affix,Indefinite word same as 'one','We' the same as 'I',Moderately low,No inclusive/exclusive,Two-way contrast,Identical,Related to remote demonstratives,3rd person singular only,Pronouns avoided for politeness,Interrogative-based,Identical,No person marking,No morphological case-marking,In fricatives alone,Syncretism in relevant NP-types,Case suffixes,Differentiation,"First, two-th, three-th",Marked by reduplication,Absent,"Formally similar, with interrogative",No possessive affixes,Absent,No possessive classification,None missing in /p t k b d g/,Adjectives and relative clauses collapsed,Marked by suffix,Ergative-Possessive,'And' different from 'with',Differentiation,No grammatical marking,"Present, no remoteness distinctions",No inflectional future,No perfect,Tense-aspect suffixes,None,Second singular and second plural,VSO,VS,OV,XOV,Prepositions,Noun-Genitive,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,"/l/, no obstruent laterals",Mixed,Degree word-Adjective,Initial,Initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,OV and AdjN,Active-inactive,Nominative - accusative (standard),Accusative,Optional pronouns in subject position,No person marking,No person marking,A and P do not or do not both occur on the verb,Mixed,Distinct from reflexive,Present,Oblique patient,Benefactive and other; both bases,Contrast absent,Both,Special imperative + normal negative,Neither type of system,Inflectional optative absent,Verbal constructions,Other,Overlap for both possibility and necessity,No grammatical evidentials,Part of the tense system,Tense and aspect,No glottalized consonants,None,Morphological but no compound,Negative particle,Asymmetric,A/Fin,Mixed behaviour,Question particle,'Have',Nonverbal encoding,Identical,None,Impossible
Sicilian,Moderately large,Exclusively concatenative,Monoexponential case,2-3 categories per word,Dependent marking,Dependent marking,Dependent-marking,Little affixation,Productive full and partial reduplication,Core and non-core,Not syncretic,None,No gender,No gender,Plural suffix,"All nouns, optional in inanimates",Person-number stem,Associative same as additive plural,Definite affix,No definite or indefinite article,No inclusive/exclusive,Average,No inclusive/exclusive,Three-way contrast,Identical,Unrelated,No gender distinctions,Pronouns avoided for politeness,Interrogative-based,Identical,No person marking,No morphological case-marking,In plosives alone,Syncretism in relevant NP-types,Case suffixes,Differentiation,"First, second, three-th",Marked by reduplication,Obligatory,"Formally similar, with interrogative",No possessive affixes,Absent,No possessive classification,None missing in /p t k b d g/,Highly differentiated,Marked by mixed or other strategies,Sentential,'And' different from 'with',Differentiation,No grammatical marking,"Present, no remoteness distinctions",No inflectional future,From possessive,Tense-aspect suffixes,Uvular continuants only,Second singular and second plural,VSO,SV,OV,No dominant order,Postpositions,Noun-Genitive,Noun-Adjective,Demonstrative-Noun,Numeral-Noun,"/l/, no obstruent laterals",Relative clause-Noun,Degree word-Adjective,Other position,Not initial interrogative phrase,Final subordinator word,VO and Postpositions,VO and NRel,VO and AdjN,Nominative - accusative (standard),Neutral,Accusative,Subject pronouns in different position,No person marking,No zero realization,A and P do not or do not both occur on the verb,Indirect-object construction,Mixed,Present,No antipassive,No applicative construction,Contrast present,Sequential but no purposive,Normal imperative + normal negative,Neither type of system,Inflectional optative absent,Verbal constructions,Verbal constructions,Overlap for both possibility and necessity,Indirect only,Verbal affix or clitic,Tense,No glottalized consonants,None,Morphological but no compound,Negative particle,Asymmetric,Non-assignable,Predicate negation also present,Question particle,Genitive,Nonverbal encoding,Identical,None,Possible
Silesian,Large,Exclusively concatenative,Monoexponential case,2-3 categories per word,Head marking,Dependent marking,Inconsistent or other,Strongly suffixing,Productive full and partial reduplication,Core and non-core,No subject person/number marking,None,No gender,No gender,Plural word,"All nouns, always obligatory",Person-number stem,No associative plural,Definite affix,No definite or indefinite article,No inclusive/exclusive,Moderately high,No inclusive/exclusive,Four-way contrast,Identical,Related for all demonstratives,3rd person singular only,Multiple politeness distinctions,Special,Identical,No person marking,No morphological case-marking,In both plosives and fricatives,Syncretism in relevant NP-types,Mixed morphological case,Differentiation,"First, two-th, three-th",Marked by suffix,Obligatory,"Formally similar, without interrogative",No possessive affixes,Absent,Two classes,None missing in /p t k b d g/,Genitives and adjectives collapsed,Marked by following word,Ergative-Possessive,'And' different from 'with',Identity,No grammatical marking,"Present, no remoteness distinctions",No inflectional future,Other perfect,No tense-aspect inflection,None,No second-person imperatives,SOV,SV,VO,XOV,Prepositions,Noun-Genitive,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,"/l/, no obstruent laterals",Noun-Relative clause,Degree word-Adjective,Other position,Initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,Other,Nominative - accusative (standard),Nominative - accusative (standard),Accusative,Subject affixes on verb,No person marking,No zero realization,A and P do not or do not both occur on the verb,Indirect-object construction,Distinct from reflexive,Present,No antipassive,Benefactive and other; both bases,Contrast absent,Sequential but no purposive,Special imperative + special negative,Maximal system,Inflectional optative absent,Verbal constructions,Verbal constructions,Overlap for either possibility or necessity,No grammatical evidentials,No grammatical evidentials,Tense and aspect,No glottalized consonants,None,Morphological but no compound,Negative affix,Asymmetric,Non-assignable,Predicate negation also present,Question particle,'Have',Nonverbal encoding,Identical,High and mid,Possible
Sindhi,Large,Exclusively isolating,Case + number,4-5 categories per word,Dependent marking,Dependent marking,Dependent-marking,Weakly suffixing,Productive full and partial reduplication,Core and non-core,Syncretic,None,No gender,Semantic and formal,Plural word,"All nouns, always obligatory",Person-number stem,No associative plural,No definite or indefinite article,No definite or indefinite article,No inclusive/exclusive,Moderately high,No inclusive/exclusive,Two-way contrast,Different stem,Related for all demonstratives,No gender distinctions,Binary politeness distinction,Interrogative-based,Identical,No person marking,No morphological case-marking,In both plosives and fricatives,Symmetrical,Case suffixes,Mixed,"First, second, three-th",Marked by reduplication,Obligatory,"Formally similar, with interrogative",No possessive affixes,Exists,Two classes,None missing in /p t k b d g/,Adjectives and relative clauses collapsed,Without marking,Double-Possessive,'And' identical to 'with',Differentiation,No grammatical marking,"Present, no remoteness distinctions",Inflectional future exists,Other perfect,Mixed type,None,Second singular and second plural,SVO,SV,OV,VOX,Postpositions,Noun-Genitive,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,"/l/, no obstruent laterals",Noun-Relative clause,Degree word-Adjective,In either of two positions,Not initial interrogative phrase,Initial subordinator word,OV and Postpositions,OV and NRel,Other,Tripartite,Nominative - accusative (standard),Neutral,Subject pronouns in different position,Only the A argument,No zero realization,A and P do not or do not both occur on the verb,Indirect-object construction,Distinct from reflexive,Present,No antipassive,Benefactive and other; both bases,Contrast absent,Purposive but no sequential,Special imperative + special negative,Neither type of system,Inflectional optative absent,Verbal constructions,Verbal constructions,Overlap for either possibility or necessity,No grammatical evidentials,No grammatical evidentials,Tense,Implosives only,None,Neither,Negative affix,Both,Non-assignable,Predicate negation also present,Mixture of previous two types,'Have',Nonverbal encoding,Identical,None,Impossible
Sinhalese,Average,Exclusively concatenative,Monoexponential case,4-5 categories per word,Dependent marking,Dependent marking,Inconsistent or other,Strongly suffixing,Full reduplication only,No case marking,No subject person/number marking,None,No gender,No gender,Plural suffix,"All nouns, always optional",Person stem + nominal plural affix,Associative same as additive plural,No definite or indefinite article,Indefinite word same as 'one',No inclusive/exclusive,Average,No inclusive/exclusive,Three-way contrast,Identical,Related for all demonstratives,No gender distinctions,Multiple politeness distinctions,Interrogative-based,Identical,No person marking,5 cases,In plosives alone,Symmetrical,Case suffixes,Differentiation,"First, two-th, three-th",Marked by reduplication,Absent,"Formally similar, without interrogative",No possessive affixes,Absent,No possessive classification,None missing in /p t k b d g/,Genitives and adjectives collapsed,Without marking,No action nominals,'And' different from 'with',Identity,Grammatical marking,"Present, no remoteness distinctions",No inflectional future,Other perfect,Tense-aspect suffixes,None,Second singular and second plural,SOV,SV,OV,No dominant order,Postpositions,Genitive-Noun,Adjective-Noun,Noun-Demonstrative,No dominant order,"/l/, no obstruent laterals",Noun-Relative clause,Degree word-Adjective,No question particle,Not initial interrogative phrase,Mixed,OV and Postpositions,OV and NRel,OV and AdjN,Active-inactive,Neutral,Accusative,Subject affixes on verb,Only the A argument,No zero realization,A and P do not or do not both occur on the verb,Indirect-object construction,Distinct from reflexive,Present,No antipassive,No applicative construction,Contrast absent,Purposive but no sequential,Special imperative + special negative,Neither type of system,Inflectional optative absent,Affixes on verbs,Other,Overlap for both possibility and necessity,Direct and indirect,Verbal affix or clitic,Tense,No glottalized consonants,None,Morphological but no compound,Negative affix,Symmetric,A/Cat,Predicate negation also present,Question particle,Locational,Nonverbal encoding,Different,None,Possible
Slovak,Average,Ablaut/concatenative,Case + number,4-5 categories per word,Dependent marking,Dependent marking,Dependent-marking,Weakly suffixing,Productive full and partial reduplication,No syncretism,Not syncretic,None,Sex-based,Semantic,Plural suffix,"All nouns, always obligatory",Person-number stem,Unique periphrastic associative plural,No definite or indefinite article,Indefinite word distinct from 'one','We' the same as 'I',Moderately low,No inclusive/exclusive,Three-way contrast,Identical,Related for all demonstratives,3rd person singular only,Binary politeness distinction,Special,Differentiated,Pronouns only,3 cases,In plosives alone,Symmetrical,Case suffixes,Mixed,"First, second, three-th",Marked by reduplication,Optional,Formally different,No possessive affixes,Absent,No possessive classification,None missing in /p t k b d g/,Genitives and adjectives collapsed,Marked by mixed or other strategies,Possessive-Accusative,'And' different from 'with',Differentiation,No grammatical marking,"Present, no remoteness distinctions",Inflectional future exists,From possessive,Tense-aspect suffixes,None,Second singular and second plural,No dominant order,SV,OV,VOX,Prepositions,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,"/l/, no obstruent laterals",Noun-Relative clause,Degree word-Adjective,Other position,Initial interrogative phrase,Final subordinator word,VO and Prepositions,VO and NRel,OV and NAdj,Nominative - accusative (standard),Nominative - accusative (standard),Neutral,Obligatory pronouns in subject position,Only the A argument,No zero realization,A precedes P,Indirect-object construction,Distinct from reflexive,Present,No antipassive,No applicative construction,Contrast absent,Purposive but no sequential,Special imperative + special negative,Neither type of system,Inflectional optative absent,Verbal constructions,Other,No overlap,Indirect only,Part of the tense system,Tense and aspect,No glottalized consonants,None,Morphological but no compound,"Negative word, unclear if verb or particle",Asymmetric,A/Cat,Mixed behaviour,Question particle,Locational,Nonverbal encoding,Different,None,Impossible
Slovenian,Average,Exclusively concatenative,Case + number,4-5 categories per word,Dependent marking,Double marking,Inconsistent or other,Strongly suffixing,Productive full and partial reduplication,No case marking,Not syncretic,None,No gender,No gender,Plural suffix,"All nouns, always obligatory",Person stem + nominal plural affix,Unique periphrastic associative plural,Definite word distinct from demonstrative,No definite or indefinite article,No inclusive/exclusive,Average,No person marking,Two-way contrast,Identical,Unrelated,No gender distinctions,No politeness distinction,Special,Identical,Pronouns only,3 cases,In both plosives and fricatives,No case-marking,Case suffixes,Mixed,"First, second, three-th",No distributive numerals,Obligatory,"Formally similar, with interrogative",No possessive affixes,Absent,No possessive classification,None missing in /p t k b d g/,Genitives and relative clauses collapsed,Marked by suffix,Restricted,'And' different from 'with',Identity,No grammatical marking,"Present, no remoteness distinctions",No inflectional future,"From 'finish', 'already'",Tense-aspect suffixes,None,Second singular and second plural,SVO,SV,VO,No dominant order,Prepositions,No dominant order,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,"/l/, no obstruent laterals",Mixed,No dominant order,Initial,Not initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,VO and AdjN,Nominative - accusative (standard),Nominative - accusative (standard),Neutral,Subject affixes on verb,Only the A argument,Zero in all 3sg forms,A and P do not or do not both occur on the verb,Indirect-object construction,Distinct from reflexive,Present,No antipassive,No applicative construction,Contrast absent,Sequential but no purposive,Normal imperative + normal negative,Neither type of system,Inflectional optative absent,Verbal constructions,Other,Overlap for both possibility and necessity,Indirect only,Part of the tense system,Tense and aspect,No glottalized consonants,None,Morphological but no compound,Negative particle,Both,A/Fin,Mixed behaviour,Question particle,Topic,Verbal encoding,Identical,None,Impossible
Somali,Average,Isolating/concatenative,Case + number,4-5 categories per word,Double marking,Head marking,Inconsistent or other,Strongly suffixing,Productive full and partial reduplication,No syncretism,Syncretic,None,Sex-based,No gender,Plural suffix,"All nouns, always obligatory",Person-number stem + pronominal plural affix,Unique affixal associative plural,Definite affix,"No indefinite, but definite article",No inclusive/exclusive,Moderately low,No inclusive/exclusive,Four-way contrast,Different inflection,Related for all demonstratives,3rd person singular only,No politeness distinction,Generic-noun-based,Differentiated,No person marking,3 cases,In plosives alone,Symmetrical,No case affixes or adpositional clitics,Differentiation,"One-th, two-th, three-th",Marked by suffix,Optional,"Formally similar, with interrogative",Possessive suffixes,Absent,No possessive classification,Missing /p/,Adjectives and relative clauses collapsed,Without marking,Mixed,'And' different from 'with',Differentiation,No grammatical marking,"Present, no remoteness distinctions",Inflectional future exists,No perfect,Tense-aspect suffixes,Uvular stops only,Second singular and second plural,SOV,SV,OV,VOX,No dominant order,No dominant order,Noun-Adjective,Demonstrative suffix,Numeral-Noun,"/l/, no obstruent laterals",Noun-Relative clause,Degree word-Adjective,Other position,Not initial interrogative phrase,Initial subordinator word,Other,OV and NRel,OV and NAdj,Active-inactive,Active - inactive,Neutral,Subject pronouns in different position,Only the P argument,No person marking,A and P do not or do not both occur on the verb,Secondary-object construction,Distinct from reflexive,Present,No antipassive,No applicative construction,Contrast absent,Sequential but no purposive,Normal imperative + normal negative,Neither type of system,Inflectional optative absent,Verbal constructions,Affixes on verbs,No overlap,No grammatical evidentials,Part of the tense system,Tense,No glottalized consonants,None,Morphological but no compound,Negative particle,Asymmetric,A/Fin and A/Cat,Predicate negation also present,Question particle,Conjunctional,Mixed,Different,None,Possible
Sundanese,Average,Tonal/isolating,Monoexponential case,4-5 categories per word,Double marking,Dependent marking,Dependent-marking,Little affixation,Productive full and partial reduplication,No case marking,No subject person/number marking,Two,No gender,No gender,Plural complete reduplication,"All nouns, always optional",Person-number stem,No associative plural,No definite or indefinite article,"No indefinite, but definite article",No inclusive/exclusive,Moderately low,No person marking,Three-way contrast,Different stem,Unrelated,No gender distinctions,Multiple politeness distinctions,Interrogative-based,Differentiated,No person marking,No morphological case-marking,In both plosives and fricatives,Symmetrical,No case affixes or adpositional clitics,Differentiation,"First/one-th, two-th, three-th",Marked by reduplication,Obligatory,"Formally similar, without interrogative",No possessive affixes,Absent,No possessive classification,None missing in /p t k b d g/,Genitives and adjectives collapsed,Marked by preceding word,Possessive-Accusative,'And' different from 'with',Identity,No grammatical marking,No past tense,No inflectional future,"From 'finish', 'already'",No tense-aspect inflection,None,No second-person imperatives,SVO,SV,VO,VOX,Prepositions,Noun-Genitive,Noun-Adjective,Noun-Demonstrative,Numeral-Noun,"/l/, no obstruent laterals",Noun-Relative clause,No dominant order,Initial,Not initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,VO and NAdj,Nominative - accusative (standard),Active - inactive,Neutral,Subject pronouns in different position,No person marking,No person marking,A and P do not or do not both occur on the verb,Mixed,Distinct from reflexive,Present,No antipassive,No applicative construction,Contrast absent,Sequential but no purposive,Special imperative + special negative,Neither type of system,Inflectional optative absent,Verbal constructions,Verbal constructions,Overlap for both possibility and necessity,No grammatical evidentials,No grammatical evidentials,Tense,No glottalized consonants,None,Morphological but no compound,"Negative word, unclear if verb or particle",Asymmetric,A/Fin and A/Cat,Predicate negation also present,Question particle,Locational,Verbal encoding,Different,None,Possible
Swahili,Average,Exclusively concatenative,Case + number,2-3 categories per word,Dependent marking,Double marking,Dependent-marking,Strongly suffixing,Productive full and partial reduplication,Core and non-core,Not syncretic,None,No gender,Semantic and formal,Plural suffix,"All nouns, optional in inanimates",Person stem + pronominal plural affix,Associative same as additive plural,Definite affix,Indefinite word same as 'one','We' the same as 'I',Moderately high,No person marking,Two-way contrast,Identical,Unrelated,No gender distinctions,No politeness distinction,Interrogative-based,Differentiated,Pronouns only,6-7 cases,In both plosives and fricatives,Additive-quantitatively asymmetrical,Case suffixes,Mixed,"First, second, three-th",Marked by mixed or other strategies,Absent,"Formally similar, with interrogative",Possessive suffixes,Absent,No possessive classification,None missing in /p t k b d g/,Genitives and adjectives collapsed,Marked by preceding word,Ergative-Possessive,'And' different from 'with',Identity,Grammatical marking,"Present, no remoteness distinctions",No inflectional future,"From 'finish', 'already'",Mixed type,None,Second singular and second plural,SOV,VS,VO,No dominant order,Postpositions,Genitive-Noun,Adjective-Noun,Noun-Demonstrative,Numeral-Noun,"/l/, no obstruent laterals",Relative clause-Noun,Adjective-Degree word,In either of two positions,Initial interrogative phrase,Initial subordinator word,VO and Prepositions,Other,OV and NAdj,Ergative - absolutive,Active - inactive,Accusative,Obligatory pronouns in subject position,No person marking,No zero realization,A precedes P,Indirect-object construction,Distinct from reflexive,Present,No antipassive,Benefactive and other; both bases,Contrast absent,Sequential but no purposive,Normal imperative + normal negative,Maximal system,Inflectional optative absent,Verbal constructions,Verbal constructions,No overlap,No grammatical evidentials,Verbal affix or clitic,Tense and aspect,No glottalized consonants,None,Morphological but no compound,Negative particle,Both,Non-assignable,Predicate negation also present,Interrogative word order,Locational,Nonverbal encoding,Identical,None,Possible
Swedish,Average,Exclusively concatenative,Case + number,2-3 categories per word,Dependent marking,Dependent marking,Double-marking,Strongly suffixing,Full reduplication only,No case marking,Not syncretic,None,Sex-based,Semantic and formal,Plural suffix,"All nouns, always obligatory",Person-number stem,Associative same as additive plural,Definite affix,Indefinite word same as 'one',No inclusive/exclusive,Average,No inclusive/exclusive,Two-way contrast,Identical,Unrelated,No gender distinctions,Binary politeness distinction,Special,Identical,Pronouns only,2 cases,In both plosives and fricatives,Additive-quantitatively asymmetrical,No case affixes or adpositional clitics,Identity,"First, second, three-th",Marked by preceding word,Optional,"Formally similar, with interrogative",No possessive affixes,Absent,No possessive classification,None missing in /p t k b d g/,Genitives and adjectives collapsed,Marked by preceding word,Other,'And' different from 'with',Differentiation,No grammatical marking,"Present, no remoteness distinctions",No inflectional future,From possessive,Tense-aspect suffixes,None,Second person number-neutral,SVO,SV,VO,VOX,Prepositions,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,"/l/, no obstruent laterals",Noun-Relative clause,Degree word-Adjective,No question particle,Initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,VO and AdjN,Tripartite,Neutral,Accusative,Obligatory pronouns in subject position,No person marking,No zero realization,A and P do not or do not both occur on the verb,Indirect-object construction,Distinct from reflexive,Present,No antipassive,Benefactive object; only transitive,Contrast absent,Sequential but no purposive,Normal imperative + normal negative,Neither type of system,Inflectional optative absent,Verbal constructions,Verbal constructions,Overlap for both possibility and necessity,Indirect only,Mixed,Tense,Ejectives only,None,Morphological but no compound,Negative particle,Both,Non-assignable,Mixed behaviour,Interrogative word order,'Have',Nonverbal encoding,Identical,None,Impossible
Tajik,Average,Ablaut/concatenative,No case,4-5 categories per word,Dependent marking,Dependent marking,Zero-marking,Weakly suffixing,Productive full and partial reduplication,No case marking,Syncretic,Two,No gender,No gender,Plural suffix,"All nouns, optional in inanimates",Person-number stem,Associative same as additive plural,"No definite, but indefinite article",Indefinite word distinct from 'one',No inclusive/exclusive,Average,No inclusive/exclusive,Two-way contrast,Identical,Related for all demonstratives,No gender distinctions,Multiple politeness distinctions,Interrogative-based,Identical,No person marking,8-9 cases,In both plosives and fricatives,Syncretism in relevant NP-types,No case affixes or adpositional clitics,Mixed,"First, second, three-th",Marked by mixed or other strategies,Optional,"Formally similar, with interrogative",No possessive affixes,Absent,No possessive classification,Missing /g/,Genitives and adjectives collapsed,Without marking,Sentential,'And' different from 'with',Identity,No grammatical marking,"Present, no remoteness distinctions",Inflectional future exists,"From 'finish', 'already'",Mixed type,None,Second singular and second plural,SOV,SV,OV,VOX,Prepositions,Noun-Genitive,Noun-Adjective,Demonstrative-Noun,Numeral-Noun,"/l/, no obstruent laterals",Noun-Relative clause,Adjective-Degree word,Final,Mixed,Initial subordinator word,OV and Prepositions,OV and NRel,OV and NAdj,Nominative - accusative (standard),Active - inactive,Accusative,Subject affixes on verb,No person marking,Zero in all 3rd person forms,A and P do not or do not both occur on the verb,Indirect-object construction,Mixed,Present,No antipassive,No applicative construction,Contrast present,Purposive but no sequential,Normal imperative + special negative,Neither type of system,Inflectional optative absent,Verbal constructions,Verbal constructions,Overlap for either possibility or necessity,No grammatical evidentials,Part of the tense system,Tense,No glottalized consonants,"Singular-plural pairs, no suppletion",Morphological but no compound,Negative affix,Both,A/Cat,Predicate negation also present,Question particle,'Have',Nonverbal encoding,Identical,None,Possible
