type,language1,language2,wals_dist
clauses,Akan,Hindi,0.2857142857142857
clauses,Akan,Hungarian,0.14285714285714285
clauses,Akan,Icelandic,0.25
clauses,Akan,Igbo,0.6666666666666666
clauses,Akan,Indonesian,0.42857142857142855
clauses,Akan,Ingush,0.3333333333333333
clauses,Akan,Japanese,0.7142857142857143
clauses,Akan,Kabardian,0.6
clauses,Akan,Kabiye,1
clauses,Akan,Kabyle,0.5
clauses,Akan,Kannada,0.2857142857142857
clauses,Akan,Kapampangan,0.6666666666666666
clauses,Akan,Karachay-Balkar,0
clauses,Akan,Karakalpak,0.5
clauses,Akan,Kashmiri,0.3333333333333333
clauses,Akan,Khmer,0.5
clauses,Akan,Kikuyu,0.6666666666666666
clauses,Akan,Kinyarwanda,1
clauses,Akan,Kirghiz,1
clauses,Akan,Kirundi,1
clauses,Akan,Komi-Permyak,0
clauses,Akan,Korean,0.42857142857142855
clauses,Akan,Lak,0
clauses,Akan,Lao,0.6
clauses,Akan,Latvian,0.2857142857142857
clauses,Akan,Lezgian,0.42857142857142855
clauses,Akan,Lingala,0.3333333333333333
clauses,Akan,Lithuanian,0.4
clauses,Akan,Luganda,0.4
clauses,Akan,Macedonian,0.5
clauses,Akan,Maithili,0
clauses,Akan,Malayalam,0.6666666666666666
clauses,Akan,Maltese,0
clauses,Akan,Maori,0.2857142857142857
clauses,Akan,Marathi,0.5
clauses,Akan,Minangkabau,0
clauses,Akan,Navajo,0.5
clauses,Akan,Ndonga,0
clauses,Akan,Nepali,0.5714285714285714
clauses,Akan,Newar,1
clauses,Akan,Nuosu,1
clauses,Akan,Ossetian,0
clauses,Akan,Papiamentu,0.5
clauses,Akan,Polish,0.16666666666666666
clauses,Akan,Romani,0.3333333333333333
clauses,Akan,Romanian,0.16666666666666666
clauses,Akan,Russian,0.14285714285714285
clauses,Akan,Sakha,0.4
clauses,Akan,Samoan,0.3333333333333333
clauses,Akan,Sango,0.25
clauses,Akan,Santali,0
clauses,Akan,Sesotho,0
clauses,Akan,Shona,0.6
clauses,Akan,Sinhalese,0.25
clauses,Akan,Slovenian,0.5
clauses,Akan,Somali,0.42857142857142855
clauses,Akan,Spanish,0.2857142857142857
clauses,Akan,Sranan,0.5
clauses,Akan,Sundanese,0.3333333333333333
clauses,Akan,Swati,0.5
clauses,Akan,Swedish,0.16666666666666666
clauses,Akan,Tahitian,0.5
clauses,Akan,Tajik,0.6666666666666666
clauses,Akan,Tamil,0.14285714285714285
clauses,Akan,Telugu,0.2
clauses,Akan,Tetum,0.3333333333333333
clauses,Akan,Thai,0.42857142857142855
clauses,Akan,Tigrinya,0
clauses,Akan,Tongan,0.25
clauses,Akan,Tsonga,0.5
clauses,Akan,Tulu,1
clauses,Akan,Turkish,0.42857142857142855
clauses,Akan,Tuvan,1
clauses,Akan,Udmurt,0
clauses,Akan,Ukrainian,0.5
clauses,Akan,Urdu,1
clauses,Akan,Uyghur,1
clauses,Akan,Venda,1
clauses,Akan,Vietnamese,0.5714285714285714
clauses,Akan,Welsh,0.5
clauses,Akan,Wolof,0.6666666666666666
clauses,Akan,Xhosa,1
clauses,Akan,Yoruba,0.2857142857142857
clauses,Akan,Zulu,0.7142857142857143
clauses,Amharic,Abkhazian,0.35714285714285715
clauses,Amharic,Acehnese,0.25
clauses,Amharic,Adyghe,0.3333333333333333
clauses,Amharic,Afar,0
clauses,Amharic,Akan,0.2857142857142857
clauses,Amharic,Amharic,1
clauses,Amharic,Arabic,0
clauses,Amharic,Armenian,0.5384615384615384
clauses,Amharic,Assamese,0.3333333333333333
clauses,Amharic,Avar,0.5
clauses,Amharic,Bambara,0.2727272727272727
clauses,Amharic,Bashkir,0.3333333333333333
clauses,Amharic,Basque,0.5
clauses,Amharic,Belarusian,0
clauses,Amharic,Bengali,0.4
clauses,Amharic,Bhojpuri,0
clauses,Amharic,Breton,0.8571428571428571
clauses,Amharic,Buginese,0
clauses,Amharic,Bulgarian,0.6666666666666666
clauses,Amharic,Burmese,0.21428571428571427
clauses,Amharic,Cantonese,0
clauses,Amharic,Catalan,0.3333333333333333
clauses,Amharic,Cebuano,0.4
clauses,Amharic,Chamorro,0.3333333333333333
clauses,Amharic,Chechen,0.42857142857142855
clauses,Amharic,Cherokee,0.3333333333333333
clauses,Amharic,Chichewa,0.3333333333333333
clauses,Amharic,Chinese,0.14285714285714285
clauses,Amharic,Choctaw,0.3333333333333333
clauses,Amharic,Chuvash,0.3333333333333333
clauses,Amharic,Cornish,0.3333333333333333
clauses,Amharic,Croatian,0.5714285714285714
clauses,Amharic,Czech,0.42857142857142855
clauses,Amharic,Danish,0
clauses,Amharic,Divehi,0.25
clauses,Amharic,Dutch,0.5
clauses,Amharic,English,0.5
clauses,Amharic,Erzya,0.6666666666666666
clauses,Amharic,Estonian,0.6666666666666666
clauses,Amharic,Ewe,0.6153846153846154
clauses,Amharic,Fijian,0.6153846153846154
clauses,Amharic,Finnish,0.5
clauses,Amharic,French,0.46153846153846156
clauses,Amharic,Georgian,0.5714285714285714
clauses,Amharic,German,0.4
clauses,Amharic,Greek,0.5714285714285714
clauses,Amharic,Greenlandic,0.5714285714285714
clauses,Amharic,Gujarati,0.3333333333333333
clauses,Amharic,Hausa,0.2857142857142857
clauses,Amharic,Hawaiian,0.3333333333333333
clauses,Amharic,Hindi,0.6153846153846154
clauses,Amharic,Hungarian,0.6428571428571429
clauses,Amharic,Icelandic,0.6
clauses,Amharic,Igbo,0.23076923076923078
clauses,Amharic,Indonesian,0.2857142857142857
clauses,Amharic,Ingush,0.1
clauses,Amharic,Japanese,0.2857142857142857
clauses,Amharic,Kabardian,0.3333333333333333
clauses,Amharic,Kabiye,0
clauses,Amharic,Kabyle,0.5
clauses,Amharic,Kannada,0.5714285714285714
clauses,Amharic,Kapampangan,0.5
clauses,Amharic,Karachay-Balkar,0.3333333333333333
clauses,Amharic,Karakalpak,0
clauses,Amharic,Kashmiri,0.5
clauses,Amharic,Khmer,0.08333333333333333
clauses,Amharic,Kikuyu,0.5
clauses,Amharic,Kinyarwanda,0.6666666666666666
clauses,Amharic,Kirghiz,0.5
clauses,Amharic,Kirundi,0
clauses,Amharic,Komi-Permyak,0
clauses,Amharic,Korean,0.2857142857142857
clauses,Amharic,Lak,0.16666666666666666
clauses,Amharic,Lao,0.2
clauses,Amharic,Latvian,0.42857142857142855
clauses,Amharic,Lezgian,0.21428571428571427
clauses,Amharic,Lingala,0.5
clauses,Amharic,Lithuanian,0.5
clauses,Amharic,Luganda,0.3333333333333333
clauses,Amharic,Macedonian,0
clauses,Amharic,Maithili,0
clauses,Amharic,Malayalam,0.375
clauses,Amharic,Maltese,0.6
clauses,Amharic,Maori,0.14285714285714285
clauses,Amharic,Marathi,0.3333333333333333
clauses,Amharic,Minangkabau,0
clauses,Amharic,Navajo,0.38461538461538464
clauses,Amharic,Ndonga,0.75
clauses,Amharic,Nepali,0.2857142857142857
clauses,Amharic,Newar,0
clauses,Amharic,Nuosu,0
clauses,Amharic,Ossetian,0.8333333333333334
clauses,Amharic,Papiamentu,0.25
clauses,Amharic,Polish,0.4166666666666667
clauses,Amharic,Romani,1
clauses,Amharic,Romanian,0.5
clauses,Amharic,Russian,0.5
clauses,Amharic,Sakha,0.8333333333333334
clauses,Amharic,Samoan,0.16666666666666666
clauses,Amharic,Sango,0.1
clauses,Amharic,Santali,0
clauses,Amharic,Sesotho,0
clauses,Amharic,Shona,0.5
clauses,Amharic,Sinhalese,0.6
clauses,Amharic,Slovenian,0.3333333333333333
clauses,Amharic,Somali,0
clauses,Amharic,Spanish,0.5
clauses,Amharic,Sranan,0.25
clauses,Amharic,Sundanese,0.16666666666666666
clauses,Amharic,Swati,0.6666666666666666
clauses,Amharic,Swedish,0.42857142857142855
clauses,Amharic,Tahitian,0.14285714285714285
clauses,Amharic,Tajik,0.25
clauses,Amharic,Tamil,0.5
clauses,Amharic,Telugu,0.5
clauses,Amharic,Tetum,0
clauses,Amharic,Thai,0.07142857142857142
clauses,Amharic,Tigrinya,0.5
