length,position,n,empirical_stat,ci_lower,mean,ci_upper,language,speaker,gram
7,6,2330,6.966134875255306,6.873942961536766,6.966266849664866,7.056626550175815,German,Parent,Unigram
7,7,2330,7.957114538842559,7.863757271617587,7.956802076277016,8.047822961665833,German,Parent,Unigram
9,1,1170,5.666859667006609,5.559367928302403,5.667850633544121,5.77556247846071,French,Child,Unigram
9,2,1170,6.245009778955087,6.128068168627133,6.246855081925127,6.37684692375486,French,Child,Unigram
9,3,1170,6.04154294628938,5.918919683368154,6.041432366215898,6.156093863564762,French,Child,Unigram
9,4,1170,6.423539380244302,6.310452202951972,6.424491140395945,6.550179983416732,French,Child,Unigram
9,5,1170,6.627977256592476,6.494148553953344,6.626008979680188,6.759614864983923,French,Child,Unigram
9,6,1170,6.560037552648077,6.4248171954055575,6.5577050878008425,6.68257901067457,French,Child,Unigram
9,7,1170,6.657882710476289,6.53538913050296,6.6612175216475835,6.78696471437007,French,Child,Unigram
9,8,1170,7.1242276894276015,6.99209481678654,7.123905605432036,7.264742685812733,French,Child,Unigram
9,9,1170,7.953042691801755,7.813800496970872,7.9546789889584,8.09837603269235,French,Child,Unigram
5,1,3818,5.788764731937169,5.724219101146689,5.787975307958111,5.850475964729359,French,Child,Unigram
5,2,3818,6.3710542707257964,6.30275742008538,6.370033460436584,6.443297543113238,French,Child,Unigram
5,3,3818,6.007809909197222,5.940567009292407,6.006089565147168,6.066903417728199,French,Child,Unigram
5,4,3818,6.426720348945177,6.358280547511797,6.427224147316707,6.499149872067557,French,Child,Unigram
5,5,3818,7.7961394381874625,7.720137942457308,7.795933345970373,7.87132660127851,French,Child,Unigram
7,1,2330,5.750575304963172,5.675438684048472,5.747656272931766,5.821183369463014,French,Child,Unigram
7,2,2330,6.3075111581140515,6.219882408319425,6.307431199143263,6.391594474531463,French,Child,Unigram
7,3,2330,6.1092129969678295,6.029259211714801,6.108971107885109,6.197214421671809,French,Child,Unigram
7,4,2330,6.196802090795642,6.105551947011101,6.1963283169467145,6.2826409230240055,French,Child,Unigram
