language1,language2,wals_dist
Albanian,Latvian,52
Albanian,Lezgian,49
Albanian,Limburgish,45
Albanian,Lithuanian,59
Albanian,Lombard,48
Albanian,Luganda,56
Albanian,Luxembourgish,48
Albanian,Macedonian,56
Albanian,Maithili,44
Albanian,Malagasy,48
Albanian,Malay,61
Albanian,Malayalam,47
Albanian,Maltese,50
Albanian,Manx,50
Albanian,Maori,53
Albanian,Marathi,56
Albanian,Mazandarani,48
Albanian,Mingrelian,55
Albanian,Mirandese,42
Albanian,Mongolian,54
Albanian,Nahuatl,48
Albanian,Neapolitan,55
Albanian,Nepali,45
Albanian,Norman,49
Albanian,Occitan,51
Albanian,Odia,48
Albanian,Ossetian,47
Albanian,Pangasinan,52
Albanian,Papiamentu,54
Albanian,Pashto,56
Albanian,Persian,51
Albanian,Picard,49
Albanian,Polish,54
Albanian,Quechua,49
Albanian,Ripuarian,54
Albanian,Romanian,61
Albanian,Romansh,56
Albanian,Russian,57
Albanian,Rusyn,56
Albanian,Sakha,49
Albanian,Samoan,49
Albanian,Sanskrit,50
Albanian,Sardinian,49
Albanian,Scots,52
Albanian,Serbian,52
Albanian,Serbo-Croatian,54
Albanian,Sicilian,49
Albanian,Silesian,55
Albanian,Sindhi,46
Albanian,Sinhalese,58
Albanian,Slovak,44
Albanian,Slovenian,46
Albanian,Somali,41
Albanian,Spanish,52
Albanian,Sundanese,56
Albanian,Swahili,54
Albanian,Swedish,54
Albanian,Tajik,48
Albanian,Tamil,53
Albanian,Tatar,47
Albanian,Telugu,51
Albanian,Tetum,46
Albanian,Thai,51
Albanian,Tongan,52
Albanian,Tsonga,51
Albanian,Tswana,50
Albanian,Tulu,49
Albanian,Turkish,46
Albanian,Turkmen,44
Albanian,Ukrainian,50
Albanian,Urdu,50
Albanian,Uyghur,53
Albanian,Uzbek,59
Albanian,Venetian,56
Albanian,Vepsian,56
Albanian,Vietnamese,44
Albanian,Walloon,43
Albanian,Waray,52
Albanian,Welsh,54
Albanian,Wolof,51
Albanian,Wu,51
Albanian,Yiddish,51
Albanian,Yoruba,49
Albanian,Zazaki,47
Albanian,Zeelandic,54
Alemannic,Acehnese,42
Alemannic,Afrikaans,54
Alemannic,Albanian,55
Alemannic,Alemannic,110
Alemannic,Amharic,39
Alemannic,Anglo-Saxon,50
Alemannic,Arabic,49
Alemannic,Aragonese,50
Alemannic,Armenian,49
Alemannic,Assamese,45
Alemannic,Asturian,56
Alemannic,Aymara,56
Alemannic,Azerbaijani,43
Alemannic,Bashkir,57
Alemannic,Basque,45
Alemannic,Bavarian,52
Alemannic,Belarusian,52
Alemannic,Bengali,51
Alemannic,Bhojpuri,51
Alemannic,Bosnian,59
Alemannic,Breton,53
Alemannic,Bulgarian,55
Alemannic,Burmese,49
Alemannic,Buryat,54
Alemannic,Catalan,55
Alemannic,Chavacano,55
Alemannic,Chinese,49
Alemannic,Chuvash,43
Alemannic,Corsican,53
Alemannic,Croatian,61
Alemannic,Czech,58
Alemannic,Danish,54
Alemannic,Divehi,51
Alemannic,Dutch,51
Alemannic,Emilian-Romagnol,44
Alemannic,English,60
Alemannic,Erzya,60
Alemannic,Esperanto,47
Alemannic,Estonian,63
Alemannic,Extremaduran,52
Alemannic,Faroese,47
Alemannic,Finnish,61
Alemannic,Franco-Provençal,59
Alemannic,French,49
Alemannic,Friulian,46
Alemannic,Gagauz,51
Alemannic,Galician,47
Alemannic,Georgian,44
Alemannic,German,48
Alemannic,Gilaki,44
Alemannic,Greek,61
Alemannic,Guarani,58
Alemannic,Gujarati,62
Alemannic,Hakka,50
Alemannic,Hausa,47
Alemannic,Hebrew,57
Alemannic,Hindi,51
Alemannic,Hungarian,60
Alemannic,Icelandic,56
Alemannic,Ido,46
Alemannic,Indonesian,41
Alemannic,Interlingua,48
Alemannic,Interlingue,51
Alemannic,Irish,60
Alemannic,Japanese,47
Alemannic,Javanese,57
Alemannic,Kabiye,56
Alemannic,Kabyle,57
Alemannic,Kannada,51
Alemannic,Kapampangan,50
Alemannic,Karachay-Balkar,50
Alemannic,Kazakh,53
Alemannic,Khmer,43
Alemannic,Kirghiz,61
Alemannic,Komi,51
Alemannic,Konkani,50
Alemannic,Korean,48
Alemannic,Ladino,50
Alemannic,Lao,52
Alemannic,Latin,58
Alemannic,Latvian,50
Alemannic,Lezgian,46
Alemannic,Limburgish,49
Alemannic,Lithuanian,53
Alemannic,Lombard,59
Alemannic,Luganda,52
Alemannic,Luxembourgish,51
Alemannic,Macedonian,59
Alemannic,Maithili,51
Alemannic,Malagasy,60
Alemannic,Malay,53
Alemannic,Malayalam,47
Alemannic,Maltese,49
Alemannic,Manx,49
Alemannic,Maori,49
Alemannic,Marathi,54
Alemannic,Mazandarani,56
Alemannic,Mingrelian,49
Alemannic,Mirandese,46
Alemannic,Mongolian,54
Alemannic,Nahuatl,55
Alemannic,Neapolitan,62
Alemannic,Nepali,54
Alemannic,Norman,54
Alemannic,Occitan,55
Alemannic,Odia,48
Alemannic,Ossetian,44
Alemannic,Pangasinan,49
Alemannic,Papiamentu,49
Alemannic,Pashto,51
Alemannic,Persian,44
Alemannic,Picard,48
Alemannic,Polish,61
Alemannic,Quechua,52
Alemannic,Ripuarian,55
Alemannic,Romanian,67
Alemannic,Romansh,50
Alemannic,Russian,60
Alemannic,Rusyn,46
Alemannic,Sakha,50
Alemannic,Samoan,46
Alemannic,Sanskrit,60
Alemannic,Sardinian,47
Alemannic,Scots,59
Alemannic,Serbian,50
Alemannic,Serbo-Croatian,57
Alemannic,Sicilian,45
Alemannic,Silesian,53
Alemannic,Sindhi,49
Alemannic,Sinhalese,45
Alemannic,Slovak,52
Alemannic,Slovenian,56
Alemannic,Somali,42
Alemannic,Spanish,56
Alemannic,Sundanese,51
Alemannic,Swahili,43
Alemannic,Swedish,48
Alemannic,Tajik,43
Alemannic,Tamil,45
Alemannic,Tatar,48
Alemannic,Telugu,50
Alemannic,Tetum,54
Alemannic,Thai,45
Alemannic,Tongan,50
Alemannic,Tsonga,58
Alemannic,Tswana,48
Alemannic,Tulu,61
Alemannic,Turkish,51
Alemannic,Turkmen,47
Alemannic,Ukrainian,58
Alemannic,Urdu,47
Alemannic,Uyghur,54
Alemannic,Uzbek,50
Alemannic,Venetian,50
Alemannic,Vepsian,53
Alemannic,Vietnamese,46
Alemannic,Walloon,48
Alemannic,Waray,53
Alemannic,Welsh,50
Alemannic,Wolof,49
Alemannic,Wu,61
Alemannic,Yiddish,52
Alemannic,Yoruba,50
Alemannic,Zazaki,42
Alemannic,Zeelandic,51
Amharic,Acehnese,38
Amharic,Afrikaans,48
Amharic,Albanian,37
Amharic,Alemannic,39
Amharic,Amharic,110
Amharic,Anglo-Saxon,45
Amharic,Arabic,36
Amharic,Aragonese,54
Amharic,Armenian,51
Amharic,Assamese,56
Amharic,Asturian,51
Amharic,Aymara,46
Amharic,Azerbaijani,43
Amharic,Bashkir,51
Amharic,Basque,50
Amharic,Bavarian,47
Amharic,Belarusian,45
Amharic,Bengali,49
Amharic,Bhojpuri,45
Amharic,Bosnian,48
Amharic,Breton,57
Amharic,Bulgarian,49
Amharic,Burmese,45
Amharic,Buryat,50
Amharic,Catalan,41
Amharic,Chavacano,31
Amharic,Chinese,40
Amharic,Chuvash,42
Amharic,Corsican,52
Amharic,Croatian,44
Amharic,Czech,56
Amharic,Danish,47
Amharic,Divehi,50
Amharic,Dutch,42
Amharic,Emilian-Romagnol,51
Amharic,English,52
Amharic,Erzya,46
Amharic,Esperanto,44
Amharic,Estonian,41
Amharic,Extremaduran,45
Amharic,Faroese,44
Amharic,Finnish,48
Amharic,Franco-Provençal,53
Amharic,French,42
Amharic,Friulian,45
Amharic,Gagauz,46
Amharic,Galician,41
Amharic,Georgian,48
Amharic,German,45
Amharic,Gilaki,52
Amharic,Greek,43
Amharic,Guarani,53
Amharic,Gujarati,56
Amharic,Hakka,48
Amharic,Hausa,48
Amharic,Hebrew,57
Amharic,Hindi,57
Amharic,Hungarian,52
Amharic,Icelandic,46
Amharic,Ido,48
Amharic,Indonesian,35
Amharic,Interlingua,52
Amharic,Interlingue,49
Amharic,Irish,45
Amharic,Japanese,44
Amharic,Javanese,43
Amharic,Kabiye,45
Amharic,Kabyle,46
Amharic,Kannada,58
Amharic,Kapampangan,43
Amharic,Karachay-Balkar,55
Amharic,Kazakh,48
Amharic,Khmer,33
Amharic,Kirghiz,48
Amharic,Komi,34
Amharic,Konkani,55
Amharic,Korean,49
Amharic,Ladino,54
Amharic,Lao,41
Amharic,Latin,46
Amharic,Latvian,51
Amharic,Lezgian,46
Amharic,Limburgish,41
Amharic,Lithuanian,46
Amharic,Lombard,42
Amharic,Luganda,39
Amharic,Luxembourgish,48
Amharic,Macedonian,55
Amharic,Maithili,51
Amharic,Malagasy,45
Amharic,Malay,51
Amharic,Malayalam,55
Amharic,Maltese,54
Amharic,Manx,53
Amharic,Maori,35
Amharic,Marathi,58
Amharic,Mazandarani,43
Amharic,Mingrelian,44
Amharic,Mirandese,54
Amharic,Mongolian,48
Amharic,Nahuatl,40
Amharic,Neapolitan,37
Amharic,Nepali,52
Amharic,Norman,52
Amharic,Occitan,45
Amharic,Odia,50
Amharic,Ossetian,54
Amharic,Pangasinan,43
Amharic,Papiamentu,54
Amharic,Pashto,40
Amharic,Persian,48
Amharic,Picard,39
Amharic,Polish,36
Amharic,Quechua,47
Amharic,Ripuarian,55
Amharic,Romanian,43
Amharic,Romansh,45
Amharic,Russian,47
Amharic,Rusyn,39
Amharic,Sakha,53
Amharic,Samoan,28
Amharic,Sanskrit,41
Amharic,Sardinian,44
Amharic,Scots,54
Amharic,Serbian,51
Amharic,Serbo-Croatian,47
Amharic,Sicilian,46
Amharic,Silesian,43
Amharic,Sindhi,51
Amharic,Sinhalese,50
Amharic,Slovak,50
Amharic,Slovenian,44
Amharic,Somali,42
Amharic,Spanish,44
Amharic,Sundanese,41
Amharic,Swahili,51
Amharic,Swedish,47
Amharic,Tajik,47
Amharic,Tamil,58
Amharic,Tatar,53
Amharic,Telugu,60
Amharic,Tetum,36
Amharic,Thai,37
Amharic,Tongan,44
Amharic,Tsonga,45
Amharic,Tswana,48
Amharic,Tulu,55
Amharic,Turkish,51
Amharic,Turkmen,47
Amharic,Ukrainian,49
Amharic,Urdu,51
Amharic,Uyghur,54
Amharic,Uzbek,55
Amharic,Venetian,50
Amharic,Vepsian,43
Amharic,Vietnamese,37
Amharic,Walloon,46
Amharic,Waray,48
Amharic,Welsh,49
Amharic,Wolof,43
Amharic,Wu,42
Amharic,Yiddish,47
Amharic,Yoruba,30
Amharic,Zazaki,53
Amharic,Zeelandic,44
Anglo-Saxon,Acehnese,44
Anglo-Saxon,Afrikaans,53
Anglo-Saxon,Albanian,56
Anglo-Saxon,Alemannic,50
Anglo-Saxon,Amharic,45
Anglo-Saxon,Anglo-Saxon,110
Anglo-Saxon,Arabic,44
Anglo-Saxon,Aragonese,58
Anglo-Saxon,Armenian,57
Anglo-Saxon,Assamese,48
Anglo-Saxon,Asturian,48
Anglo-Saxon,Aymara,58
Anglo-Saxon,Azerbaijani,53
Anglo-Saxon,Bashkir,55
Anglo-Saxon,Basque,51
Anglo-Saxon,Bavarian,49
Anglo-Saxon,Belarusian,53
Anglo-Saxon,Bengali,55
Anglo-Saxon,Bhojpuri,57
Anglo-Saxon,Bosnian,56
Anglo-Saxon,Breton,52
Anglo-Saxon,Bulgarian,60
Anglo-Saxon,Burmese,50
Anglo-Saxon,Buryat,50
Anglo-Saxon,Catalan,51
Anglo-Saxon,Chavacano,54
Anglo-Saxon,Chinese,48
Anglo-Saxon,Chuvash,52
Anglo-Saxon,Corsican,66
Anglo-Saxon,Croatian,58
Anglo-Saxon,Czech,60
Anglo-Saxon,Danish,52
Anglo-Saxon,Divehi,56
Anglo-Saxon,Dutch,48
Anglo-Saxon,Emilian-Romagnol,53
Anglo-Saxon,English,52
Anglo-Saxon,Erzya,61
Anglo-Saxon,Esperanto,47
Anglo-Saxon,Estonian,56
Anglo-Saxon,Extremaduran,56
Anglo-Saxon,Faroese,61
Anglo-Saxon,Finnish,64
Anglo-Saxon,Franco-Provençal,57
Anglo-Saxon,French,49
Anglo-Saxon,Friulian,52
Anglo-Saxon,Gagauz,42
Anglo-Saxon,Galician,43
Anglo-Saxon,Georgian,50
Anglo-Saxon,German,45
Anglo-Saxon,Gilaki,57
Anglo-Saxon,Greek,58
Anglo-Saxon,Guarani,64
Anglo-Saxon,Gujarati,63
Anglo-Saxon,Hakka,57
Anglo-Saxon,Hausa,49
Anglo-Saxon,Hebrew,54
Anglo-Saxon,Hindi,51
Anglo-Saxon,Hungarian,61
Anglo-Saxon,Icelandic,57
Anglo-Saxon,Ido,54
Anglo-Saxon,Indonesian,54
Anglo-Saxon,Interlingua,44
Anglo-Saxon,Interlingue,55
Anglo-Saxon,Irish,57
Anglo-Saxon,Japanese,52
Anglo-Saxon,Javanese,56
Anglo-Saxon,Kabiye,55
Anglo-Saxon,Kabyle,58
Anglo-Saxon,Kannada,53
Anglo-Saxon,Kapampangan,47
Anglo-Saxon,Karachay-Balkar,45
Anglo-Saxon,Kazakh,60
Anglo-Saxon,Khmer,50
Anglo-Saxon,Kirghiz,52
Anglo-Saxon,Komi,46
Anglo-Saxon,Konkani,48
Anglo-Saxon,Korean,51
Anglo-Saxon,Ladino,49
Anglo-Saxon,Lao,50
Anglo-Saxon,Latin,55
Anglo-Saxon,Latvian,54
Anglo-Saxon,Lezgian,47
Anglo-Saxon,Limburgish,49
Anglo-Saxon,Lithuanian,59
Anglo-Saxon,Lombard,50
Anglo-Saxon,Luganda,46
Anglo-Saxon,Luxembourgish,50
Anglo-Saxon,Macedonian,57
Anglo-Saxon,Maithili,51
Anglo-Saxon,Malagasy,41
Anglo-Saxon,Malay,59
Anglo-Saxon,Malayalam,53
Anglo-Saxon,Maltese,53
Anglo-Saxon,Manx,52
Anglo-Saxon,Maori,49
Anglo-Saxon,Marathi,58
Anglo-Saxon,Mazandarani,51
Anglo-Saxon,Mingrelian,56
Anglo-Saxon,Mirandese,52
Anglo-Saxon,Mongolian,61
Anglo-Saxon,Nahuatl,50
Anglo-Saxon,Neapolitan,59
Anglo-Saxon,Nepali,53
Anglo-Saxon,Norman,63
Anglo-Saxon,Occitan,50
Anglo-Saxon,Odia,59
Anglo-Saxon,Ossetian,47
Anglo-Saxon,Pangasinan,45
Anglo-Saxon,Papiamentu,48
Anglo-Saxon,Pashto,51
Anglo-Saxon,Persian,55
Anglo-Saxon,Picard,59
Anglo-Saxon,Polish,63
Anglo-Saxon,Quechua,50
Anglo-Saxon,Ripuarian,57
Anglo-Saxon,Romanian,58
Anglo-Saxon,Romansh,58
Anglo-Saxon,Russian,61
Anglo-Saxon,Rusyn,61
Anglo-Saxon,Sakha,59
Anglo-Saxon,Samoan,49
Anglo-Saxon,Sanskrit,52
Anglo-Saxon,Sardinian,48
Anglo-Saxon,Scots,57
Anglo-Saxon,Serbian,56
Anglo-Saxon,Serbo-Croatian,51
Anglo-Saxon,Sicilian,56
Anglo-Saxon,Silesian,50
Anglo-Saxon,Sindhi,57
Anglo-Saxon,Sinhalese,62
Anglo-Saxon,Slovak,53
Anglo-Saxon,Slovenian,57
Anglo-Saxon,Somali,46
Anglo-Saxon,Spanish,48
Anglo-Saxon,Sundanese,52
Anglo-Saxon,Swahili,51
Anglo-Saxon,Swedish,57
Anglo-Saxon,Tajik,49
Anglo-Saxon,Tamil,54
Anglo-Saxon,Tatar,53
Anglo-Saxon,Telugu,55
Anglo-Saxon,Tetum,51
Anglo-Saxon,Thai,51
Anglo-Saxon,Tongan,56
Anglo-Saxon,Tsonga,49
Anglo-Saxon,Tswana,50
Anglo-Saxon,Tulu,49
Anglo-Saxon,Turkish,53
Anglo-Saxon,Turkmen,50
Anglo-Saxon,Ukrainian,51
Anglo-Saxon,Urdu,60
Anglo-Saxon,Uyghur,61
Anglo-Saxon,Uzbek,59
Anglo-Saxon,Venetian,47
Anglo-Saxon,Vepsian,56
Anglo-Saxon,Vietnamese,50
Anglo-Saxon,Walloon,51
Anglo-Saxon,Waray,52
Anglo-Saxon,Welsh,53
Anglo-Saxon,Wolof,51
Anglo-Saxon,Wu,48
Anglo-Saxon,Yiddish,61
Anglo-Saxon,Yoruba,50
Anglo-Saxon,Zazaki,56
Anglo-Saxon,Zeelandic,49
Arabic,Acehnese,35
Arabic,Afrikaans,53
Arabic,Albanian,44
Arabic,Alemannic,49
Arabic,Amharic,36
Arabic,Anglo-Saxon,44
Arabic,Arabic,110
Arabic,Aragonese,47
