length,position,n,empirical_stat,ci_lower,mean,ci_upper,gram
30,4,77721,1.6778305648884646,1.669573019392812,1.6777635033773528,1.6841106864716004,Trigram
30,5,77721,1.734969520106864,1.7274169368197767,1.7355213741692275,1.743373778153539,Trigram
30,6,77721,1.7535990964712806,1.746123298967178,1.7532894872481606,1.7616766856646224,Trigram
30,7,77721,1.7646099485489442,1.7577921256029767,1.764686545667096,1.77197438723243,Trigram
30,8,77721,1.7573476274751496,1.7499375581765872,1.7573182782616257,1.7649908404307886,Trigram
30,9,77721,1.7655414108529335,1.7567163325268236,1.7657520796882669,1.7736510026173624,Trigram
30,10,77721,1.764202449054281,1.7567223155907725,1.7646184214916056,1.7710746877646324,Trigram
30,11,77721,1.7604941305995971,1.7533132147490522,1.7609776768993175,1.7698238532494655,Trigram
30,12,77721,1.7690401109112415,1.7599512394026506,1.7689285353152782,1.7774085764404344,Trigram
30,13,77721,1.765418281781689,1.7585274354352527,1.7654935534711993,1.7727643292492212,Trigram
30,14,77721,1.7586904132107426,1.7514938183390254,1.7589757489926476,1.7666444601773483,Trigram
30,15,77721,1.7703513099260675,1.7621760314223596,1.770044336828379,1.778361494065825,Trigram
30,16,77721,1.773639182687608,1.763950069776518,1.773048683960208,1.7800115249196402,Trigram
30,17,77721,1.7715934340835202,1.7645935419199512,1.772345215517234,1.781763808790626,Trigram
30,18,77721,1.7727713345656133,1.764703518158679,1.7727285009950733,1.7787424018508307,Trigram
30,19,77721,1.7707201744877221,1.7629434714489598,1.7709063117055726,1.7782302057958113,Trigram
30,20,77721,1.7757867240857907,1.7682887798680342,1.7761974104757183,1.7837950757459662,Trigram
30,21,77721,1.771050469622349,1.7630446028584252,1.7705412697061653,1.7770053056249457,Trigram
30,22,77721,1.769245931739948,1.7621991538596231,1.769283736846449,1.7775815162643536,Trigram
30,23,77721,1.7811816236123414,1.7736215960291395,1.7814992986782383,1.788346415303128,Trigram
30,24,77721,1.7775532759597494,1.7699400243683876,1.777166526279926,1.7865253948007012,Trigram
30,25,77721,1.7623207864380845,1.7554058412769877,1.7630178728737531,1.7698922171222267,Trigram
30,26,77721,1.781595805057558,1.773933618554775,1.7818047790037996,1.7905164931876678,Trigram
30,27,77721,1.7922192119189733,1.7850063445341973,1.791840324820739,1.7999905896077006,Trigram
30,28,77721,1.6984172421137564,1.6918483903420596,1.6985441776355503,1.7055371491538551,Trigram
30,29,77721,1.7777637691373624,1.7685880587083376,1.7778029603876286,1.7858735270787374,Trigram
30,30,77721,2.048033221754123,2.0398053958230364,2.048004588788957,2.056352895454102,Trigram
