language1,language2,cosine,gram
Bosnian,Faroese,0.6215694479507601,unigram
Bosnian,Ripuarian,0.7005252085171798,unigram
Bosnian,Luxembourgish,0.7844328919772711,unigram
Bosnian,Limburgish,0.7195404028502506,unigram
Bosnian,Scots,0.7070613287842014,unigram
Bosnian,Zeelandic,0.6381041558118914,unigram
Bosnian,Aragonese,0.6620849214433959,unigram
Bosnian,Asturian,0.6631485635093006,unigram
Bosnian,Emilian-Romagnol,0.6780145731881597,unigram
Bosnian,Extremaduran,0.5602731217087388,unigram
Bosnian,Franco-Provençal,0.437978370946945,unigram
Bosnian,Friulian,0.6679052956661444,unigram
Bosnian,Ladino,0.5081896824781507,unigram
Bosnian,Lombard,0.690928063619592,unigram
Bosnian,Mirandese,0.645313229148972,unigram
Bosnian,Neapolitan,0.5947022726069326,unigram
Bosnian,Occitan,0.6521065703026021,unigram
Bosnian,Picard,0.5803290504953901,unigram
Bosnian,Sardinian,0.521041885939663,unigram
Bosnian,Sicilian,0.6838963916081053,unigram
Bosnian,Venetian,0.6397783179897246,unigram
Bosnian,Czech,0.7491602742776334,unigram
Bosnian,Rusyn,0.7387451516368121,unigram
Bosnian,Slovenian,0.9047562883316511,unigram
Bosnian,Uzbek,-0.11681605083881427,unigram
Bosnian,Amharic,-0.5562592337459975,unigram
Bosnian,Zazaki,0.5899757832480199,unigram
Bosnian,Gilaki,0.3209880289515501,unigram
Bosnian,Mazandarani,0.04678552116899432,unigram
Bosnian,Ossetian,0.4748787476288765,unigram
Bosnian,Pashto,0.10557191692834073,unigram
Bosnian,Komi,0.3591517508464944,unigram
Bosnian,Vepsian,0.4572810643654229,unigram
Bosnian,Erzya,-0.16704570227255364,unigram
Bosnian,Konkani,-0.12922416650018545,unigram
Bosnian,Odia,-0.5365524838630238,unigram
Bosnian,Maithili,0.07665024437900153,unigram
Bosnian,Sanskrit,-0.538545269512476,unigram
Bosnian,Sindhi,-0.4559370967979907,unigram
Bosnian,Sinhalese,-0.6054664081131422,unigram
Bosnian,Esperanto,0.6005586244489234,unigram
Bosnian,Ido,0.516065557821648,unigram
Bosnian,Lithuanian,0.5524789410791197,unigram
Bosnian,Latvian,0.7966056985910159,unigram
Bosnian,Kannada,0.852602172482187,unigram
Bosnian,Malayalam,0.4114430552537124,unigram
Bosnian,Breton,0.7639802577293472,unigram
Bosnian,Irish,0.686424053018721,unigram
Bosnian,Manx,0.4109406543216243,unigram
Bosnian,Burmese,-0.2634850142367358,unigram
Bosnian,Mingrelian,0.6562741749097001,unigram
Bosnian,Lao,0.3621355766738535,unigram
Bosnian,Thai,-0.8586026410120755,unigram
Bosnian,Lezgian,0.008377994522795362,unigram
Bosnian,Malagasy,0.33275336264455313,unigram
Bosnian,Papiamentu,0.7912640462636938,unigram
Bosnian,Albanian,0.5930769743856309,unigram
Bosnian,Luganda,0.5829052499896676,unigram
Bosnian,Swahili,0.5614348049636985,unigram
Bosnian,Tswana,0.6500164873819403,unigram
Bosnian,Tsonga,0.6345466763334952,unigram
Bosnian,Buryat,-0.1333088375892795,unigram
Bosnian,Samoan,0.568883302347463,unigram
Bosnian,Tongan,0.6238801060019203,unigram
Bosnian,Nahuatl,0.688883675022926,unigram
Bosnian,Somali,0.6886632094181034,unigram
Bosnian,Aymara,0.3129631066812585,unigram
Bosnian,Guarani,0.5428394314048661,unigram
Bosnian,Kabyle,0.5639918845743702,unigram
Bosnian,Hausa,0.5740979184591175,unigram
Bosnian,Tetum,0.6292356514740923,unigram
Bosnian,Tulu,0.3917004140202763,unigram
Bosnian,Maori,0.2461922620499211,unigram
Bosnian,Nepali,0.0751327269412551,unigram
Bosnian,Mongolian,0.047586611183560945,unigram
Bosnian,Hindi,-0.43961717908630227,unigram
Bosnian,Danish,0.713940592632386,unigram
Bosnian,Hebrew,0.9165727321948525,unigram
Bosnian,Indonesian,0.740007791836993,unigram
Bosnian,Serbian,0.8886853332282116,unigram
Bosnian,Ukrainian,0.7208110014720537,unigram
Bosnian,Russian,0.8891575030987149,unigram
Bosnian,German,0.6986001757605644,unigram
Bosnian,Japanese,-0.292743924552119,unigram
Bosnian,Arabic,0.6774191043503778,unigram
