value,gram
1.9657245757602153,unigram
1.199485295034739,unigram
1.9352054125368112,unigram
1.4791581710209614,unigram
2.117899972923364,unigram
1.4233358916405305,unigram
0.9186588169171985,unigram
2.584765995698676,unigram
3.46925348853514,unigram
2.3772497402093418,unigram
3.3898001922419727,unigram
1.6702172163131688,unigram
0.7784255997805123,unigram
1.0882680053401534,unigram
1.8262839954485184,unigram
0.9917391110438065,unigram
0.8035849020707819,unigram
1.9204355059034812,unigram
3.9342316226743947,unigram
2.130129924203216,unigram
2.671552150030715,unigram
1.3181966448004805,unigram
1.0532881809598433,unigram
1.6532877075948083,unigram
3.193586905159241,unigram
2.455901009683648,unigram
1.2064195792257566,unigram
1.0065442213074105,unigram
1.2644820697225723,unigram
1.9594486292841196,unigram
1.757963704421945,unigram
1.3485883993844188,unigram
1.38197092555636,unigram
0.7375939401366884,unigram
3.2811861227019037,unigram
2.889480380707932,unigram
1.145730112700345,unigram
5.172667087954245,unigram
2.585020861930981,unigram
2.088846290999733,unigram
5.821226852263805,unigram
1.3186345279379297,unigram
2.3590520712331022,unigram
1.5883339092529543,unigram
1.7593608248965693,unigram
3.7095908589326134,unigram
2.3673681836066147,unigram
0.7615682000925266,unigram
2.647140227324851,unigram
1.2964207153106657,unigram
0.8391296554290513,unigram
1.4573432192679854,unigram
1.2180039888116485,unigram
2.2344284208007976,unigram
1.5886695337576215,unigram
3.466512210591517,unigram
3.304381846944377,unigram
1.342440755160351,unigram
3.9953597791656876,unigram
2.269472415319243,unigram
3.8648115177396116,unigram
2.9345589169466946,unigram
3.798052318859095,unigram
3.5608572613445997,unigram
2.357264806571646,unigram
3.57355754316055,unigram
2.424488020238952,unigram
1.79191868172971,unigram
2.987000228129734,unigram
1.908887376058518,unigram
2.4429479091423705,unigram
1.464979881925657,unigram
0.6043683339309021,unigram
1.387487537109847,unigram
2.1918860792011787,unigram
2.6675402044433927,unigram
1.5786619910502497,unigram
1.5182863342042467,unigram
2.4096242092415157,unigram
1.4665818418108945,unigram
1.7583237245057513,unigram
1.1996709841016728,unigram
1.54855655204465,unigram
2.4592280253930787,unigram
2.0532841544941096,unigram
2.0960929223511515,unigram
2.863356821975424,unigram
2.4096466847878695,unigram
2.436686769976067,unigram
2.0422617908611533,unigram
1.6158210417381667,unigram
2.9784199328892282,unigram
1.4781708650884622,unigram
1.1565245289205879,unigram
3.7283042416411925,unigram
5.481746035960246,unigram
1.7286880235309208,unigram
2.361991329080437,unigram
3.5673978560626756,unigram
2.587761696808575,unigram
0.8260346752473104,unigram
1.7668247203400718,unigram
4.1032356726533035,unigram
1.8647259917178283,unigram
3.819277113478892,unigram
3.790681050246661,unigram
2.0131695430665566,unigram
1.6387364599274021,unigram
1.6363929210263932,unigram
4.003567598748356,unigram
2.8079980240408906,unigram
1.6959786298792991,unigram
6.600469409354602,unigram
7.056245354779595,unigram
1.338323631361916,unigram
1.4211480341249252,unigram
3.0708602301373884,unigram
2.146331200830917,unigram
2.0586026990107658,unigram
2.9182301454899564,unigram
3.3370935991123525,unigram
1.9751421621995928,unigram
3.5819220827947267,unigram
7.625237130380034,unigram
2.0213908477704354,unigram
1.7493948456300576,unigram
1.4300254494332965,unigram
1.5205509616667836,unigram
2.0175752169129546,unigram
0.7767038496284102,unigram
1.6566031127145413,unigram
0.9175345750013619,unigram
1.3219116125400396,unigram
1.0125393484758867,unigram
4.27144564871468,unigram
1.4620228154687598,unigram
3.7230133729684254,unigram
2.406056307658151,unigram
1.7595847874901014,unigram
3.5859188053351323,unigram
4.341059838621164,unigram
2.802480853132513,unigram
2.4256221453945974,unigram
1.8068232917641875,unigram
1.6775134242030005,unigram
1.3026698465954363,unigram
1.7104516564675514,unigram
2.052156343200865,unigram
1.4788131666234072,unigram
1.868851324847391,unigram
1.8793960524054887,unigram
3.3335862911055534,unigram
2.2248932685327416,unigram
2.0592132793192905,unigram
2.756279716221883,unigram
2.8571628245690857,unigram
2.806284887319415,unigram
3.0957933946078686,unigram
3.066373821686408,unigram
1.6600672445568345,unigram
2.0103872171386103,unigram
2.249484347997949,unigram
1.870870285446835,unigram
2.2396006154316104,unigram
2.1288791454469504,unigram
4.65977360142433,unigram
3.2810135487268304,unigram
2.312417896427575,unigram
1.3697290313473651,unigram
1.4312944181921954,unigram
2.3868100610981506,unigram
3.203055448350791,unigram
2.082426048868867,unigram
1.0962612662837206,unigram
1.435874720056666,unigram
1.937905216943388,unigram
2.333613513302654,unigram
1.7754213461916883,unigram
1.6096178799665664,unigram
2.847128322102156,unigram
2.088329674848167,unigram
4.706452334120317,unigram
4.370202334166711,unigram
1.6868253929360755,unigram
5.3301568507692405,unigram
3.8319792577456013,unigram
2.311304420649966,unigram
3.5718380264236824,unigram
2.1105447244658526,unigram
2.8179984984654154,unigram
1.906415274113371,unigram
3.3509949863245474,unigram
