language,source,gram,family,1,2,3,4,5
Kirghiz,wikipedia,unigram,Altaic,0.23843559086328447,-0.27149485395124406,-0.08662876447041512,-0.016728257977423944,0.1364162855357991
Kirghiz,wikipedia,trigram,Altaic,2.352569749545193,-0.2308345490547805,-0.559828104277666,-0.6935345780053159,-0.8683725182074299
Turkmen,wikipedia,unigram,Altaic,-0.06393827378698891,-0.21466683482037974,-0.055718366028524535,0.07833075998794392,0.2559927146479506
Turkmen,wikipedia,trigram,Altaic,1.9854865889401074,-0.07241349154035781,-0.5927968293929109,-0.6250818647313534,-0.6951944032754854
Persian,wikipedia,unigram,NA,0.3402067287442705,0.023982930295825877,-0.18178231841748005,0.28794257616036845,-0.47034991678298477
Persian,wikipedia,trigram,NA,1.9627385794148133,0.07187535298253267,-0.65777913882916,-0.5047731359562357,-0.8720616576119506
Tajik,wikipedia,unigram,Indo-European,0.48437005528076904,0.11894547548986534,-0.10830664205964213,-0.47759779856202966,-0.01741109014896347
Tajik,wikipedia,trigram,Indo-European,2.1316993149084817,-0.41138842570167156,-0.30702757752851384,-0.5669710181481353,-0.8463122935301606
Latin,wikipedia,unigram,NA,0.36567892407000624,-0.27724419518952415,-0.048149967552948425,0.07807863661776127,-0.11836339794529449
Latin,wikipedia,trigram,NA,2.2944935227598586,-0.16609357117858803,-0.5879527009593002,-0.715204659411672,-0.8252425912102981
Galician,wikipedia,unigram,Indo-European,-0.29292828970548745,0.08606932234975018,-0.17388288205371172,-0.2911709240334659,0.6719127734429158
Galician,wikipedia,trigram,Indo-European,1.3565963225213247,0.23648214919229926,-0.6250714333746072,-0.5276492506004704,-0.44035778773854606
Romanian,wikipedia,unigram,Indo-European,-0.0021687120118887293,-0.1376694408327106,-0.25293482337233364,-0.20158904411251166,0.5943620203294455
Romanian,wikipedia,trigram,Indo-European,1.8324189515147988,-0.058470295972896436,-0.6826808150063152,-0.5271012204694061,-0.5641666200661807
Norman,wikipedia,unigram,NA,-0.2380954927732879,0.038276296168678225,-0.3820654313454783,-0.1313993662656876,0.7132839942157752
Norman,wikipedia,trigram,NA,1.225553301596508,0.06467101589002633,-0.484515525162729,-0.2821331200574908,-0.5235756722663144
Corsican,wikipedia,unigram,NA,-0.24282317099143036,0.04151424844502705,-0.22038213824355646,-0.44910726697637404,0.8707983277663347
Corsican,wikipedia,trigram,NA,1.1985602089438092,0.058184256663295963,-0.5842807868913569,-0.44558128551397225,-0.2268823932017756
Bengali,wikipedia,unigram,Indo-European,0.2906305879918074,-0.19474101112724052,-0.05880921275659334,-0.42629527565432435,0.38921491154635035
Bengali,wikipedia,trigram,Indo-European,2.0009134790977385,-0.21759115618826086,-0.7072115282882958,-0.7607720123433861,-0.31533878227779577
Waray,wikipedia,unigram,Austronesian,-0.8491664042545888,0.9880482011539704,-0.18714012974391148,-0.4200495958199659,0.4683079286644958
Waray,wikipedia,trigram,Austronesian,1.346913778543362,-0.24970344303212422,-0.4088155155050764,-0.6017949617905766,-0.0865998582155848
Welsh,wikipedia,unigram,Indo-European,-0.14197007224795843,-0.31083643279476236,-0.03984384479229286,-0.2258400223838466,0.7184903722188607
