position,length,speaker,language,n,empirical_stat,ci_lower,mean,ci_upper
5,5,Child,French,14691,1.4926149293178843,1.4734155352761866,1.4918880557160277,1.5123703202054073
1,7,Child,French,6892,7.426415879644769,7.414371538852372,7.42643498231212,7.440776542993182
2,7,Child,French,6892,1.8520499363377283,1.8359807401082575,1.8539386236287105,1.871048630294036
3,7,Child,French,6892,1.3834278893138667,1.3615326822452676,1.3847419832621766,1.4059065639972688
4,7,Child,French,6892,1.2993008982145848,1.281005203753312,1.3004789296126407,1.3201776986828186
5,7,Child,French,6892,1.3232358962868234,1.3041576462788633,1.322053833048287,1.3374646691176273
6,7,Child,French,6892,1.1685236556130099,1.1494492973144221,1.1669417911048414,1.188780819260133
7,7,Child,French,6892,1.4175285039014478,1.389160996954834,1.417167505146941,1.442079923749489
1,6,Child,French,10208,7.446748134297637,7.436364990457612,7.44597759740433,7.458070540833389
2,6,Child,French,10208,1.8577662548955332,1.8429048047380574,1.8585776467971666,1.8788051489180064
3,6,Child,French,10208,1.3876631175135743,1.3719143793594126,1.389721743129544,1.4085680337202353
4,6,Child,French,10208,1.3151856549901648,1.3016180652132414,1.3151876459579015,1.3317538582711104
5,6,Child,French,10208,1.1847781816199656,1.1686978222124957,1.1847911511469036,1.2001534177264823
6,6,Child,French,10208,1.4490836429932274,1.4297696153776351,1.448844127512791,1.4677437835311675
1,8,Child,French,4692,7.429841320329716,7.413854641581029,7.430617734505799,7.449237977462452
2,8,Child,French,4692,1.8249414989507209,1.8032753379321567,1.8252290044223154,1.849072891234945
3,8,Child,French,4692,1.4124967529035894,1.3841892415605237,1.4124299523404593,1.4471293337065139
4,8,Child,French,4692,1.2956993762794358,1.2652427791799628,1.2927680716622312,1.3193479874021257
5,8,Child,French,4692,1.3013518671652038,1.2768845253016639,1.3019285658634532,1.332623099790408
6,8,Child,French,4692,1.302580475095796,1.2783353542300848,1.3035026404950116,1.33315883015631
7,8,Child,French,4692,1.1611648321863128,1.1385035832507022,1.1620452294635244,1.1837493378411779
8,8,Child,French,4692,1.4188883965684123,1.391163203148179,1.4177989880376054,1.447595628694602
1,9,Child,French,3151,7.457184098932865,7.432913295332117,7.4599972576793885,7.48755082773504
2,9,Child,French,3151,1.844171060376302,1.8097111781110313,1.8459925122232295,1.8772022567828925
3,9,Child,French,3151,1.3504962180387932,1.3143049365961148,1.3494533144440284,1.3824962142553454
4,9,Child,French,3151,1.2834136179612576,1.2524423061760976,1.286385956527089,1.318333190297445
5,9,Child,French,3151,1.2616515754329254,1.236410579799433,1.261067824151848,1.2883058595453054
6,9,Child,French,3151,1.2763064511425342,1.2392370102652213,1.2752862436231907,1.3039744006323837
7,9,Child,French,3151,1.2829931358124331,1.257658647989629,1.283582496180757,1.3145636026782106
8,9,Child,French,3151,1.0940329692583923,1.0708454668370553,1.0924437855751088,1.1182231825406648
9,9,Child,French,3151,1.4356746506365623,1.4073222038179154,1.435142895076737,1.4614771217968454
1,3,Adult,German,55954,8.527337467482532,8.518635153522032,8.52666344326117,8.534083973832207
2,3,Adult,German,55954,2.377426136058569,2.366732574637309,2.3770926918503505,2.389037522527349
3,3,Adult,German,55954,2.665800931630365,2.645276163895578,2.665185609354567,2.681148545835116
1,4,Adult,German,64032,8.454398693873369,8.448732883361231,8.454451200937045,8.459881902192866
2,4,Adult,German,64032,2.3396420197031724,2.3286632722252048,2.339384891047798,2.351062237158202
3,4,Adult,German,64032,1.8915406146953846,1.8762562680876869,1.8908855543535823,1.9045555022932859
4,4,Adult,German,64032,2.9413050297779897,2.924876315811596,2.940063984331371,2.9550122788199213
1,6,Adult,German,48544,8.45026173661159,8.443255116113253,8.450505273601062,8.457962160235567
2,6,Adult,German,48544,2.381524799662982,2.36812042987604,2.380772305024283,2.3925911225228713
3,6,Adult,German,48544,1.8520965123636282,1.8371275487559098,1.8516281036577809,1.8635904902869795
4,6,Adult,German,48544,2.005065361758597,1.9912768163879746,2.0048150035886776,2.019658469847092
5,6,Adult,German,48544,2.5207949708570125,2.503708775712812,2.519464873015566,2.535328669237291
6,6,Adult,German,48544,3.176961280616711,3.1615708459325838,3.1770858161066933,3.194964198055005
1,7,Adult,German,36603,8.445186080598598,8.436979884854193,8.445456169592214,8.452340587266784
2,7,Adult,German,36603,2.3627765042480315,2.3519080244191786,2.363175031124065,2.375375619344795
3,7,Adult,German,36603,1.8751993549360888,1.8587786330880842,1.874677135103326,1.8931192585934289
4,7,Adult,German,36603,2.0005121796397476,1.9840164665366133,2.0011299116702737,2.015002200187948
5,7,Adult,German,36603,2.2292753797741702,2.2168183259637266,2.229319005857917,2.2482012400781053
6,7,Adult,German,36603,2.705275983428465,2.688219470643699,2.7066885551730064,2.7276000548064654
7,7,Adult,German,36603,3.269123998518261,3.245259961523723,3.2689505457392194,3.2877966651590045
1,5,Adult,German,60355,8.455852650241127,8.44999113547003,8.456136740109903,8.463386147439987
2,5,Adult,German,60355,2.376663010249368,2.366899724968741,2.376779078726602,2.387043839734053
3,5,Adult,German,60355,1.7978804703112734,1.787004739395103,1.798110564770018,1.810320526809031
4,5,Adult,German,60355,2.2341301513206058,2.2186596522089483,2.2339904057497453,2.2496597721032345
5,5,Adult,German,60355,3.0624998371026932,3.0433619684687545,3.0616661683624873,3.078704007891255
1,8,Adult,German,25789,8.432073580270648,8.421796988266344,8.431188191853902,8.441958122708918
2,8,Adult,German,25789,2.3831016605316107,2.3649967315013107,2.382945689742334,2.399524249052492
3,8,Adult,German,25789,1.8981330084113819,1.8798806036952542,1.8969395398618436,1.916981173706173
4,8,Adult,German,25789,2.0246704671071254,2.0020056901099568,2.023206335104211,2.043985533808824
5,8,Adult,German,25789,2.183714408984342,2.1650689490094126,2.1842617837824045,2.203126571791054
6,8,Adult,German,25789,2.332052578649292,2.312218180120955,2.3319405842786094,2.354445175364128
7,8,Adult,German,25789,2.838658259262466,2.810782968344336,2.837943448461527,2.8627816135264195
8,8,Adult,German,25789,3.2978037839122787,3.2728203060364516,3.2978541832206147,3.322998924608575
1,9,Adult,German,18289,8.444085717012209,8.432879839863052,8.444415926572708,8.454006609809008
2,9,Adult,German,18289,2.3818107027008675,2.363488595706911,2.3810991462234252,2.3990439671308312
3,9,Adult,German,18289,1.8782131169882472,1.8570252339512336,1.8757694373820932,1.8949106125526165
4,9,Adult,German,18289,2.0414923558612434,2.017445917325776,2.0415823439368332,2.0644094116835476
5,9,Adult,German,18289,2.206981516697857,2.1860840254226517,2.2077499258212523,2.230872406294819
6,9,Adult,German,18289,2.3143333017848895,2.291836854522332,2.3153696805147144,2.3389477072135443
7,9,Adult,German,18289,2.4241505657070688,2.389349420845388,2.422218889696184,2.4471747000541777
8,9,Adult,German,18289,2.8693843676175836,2.8382197980925974,2.867093067296292,2.8983197718879903
9,9,Adult,German,18289,3.224862976667104,3.19697188314722,3.2240501728308937,3.252082484136344
1,3,Child,German,70998,8.858545345643389,8.851415097375646,8.85844268770526,8.866059603899707
2,3,Child,German,70998,2.6481033616436847,2.6390805711151564,2.648693648593695,2.6565591683820684
3,3,Child,German,70998,2.7674127416901664,2.7514901496469344,2.7676352841277376,2.7819938402505304
1,4,Child,German,53964,8.716001271370935,8.70716727264427,8.715845155731493,8.72432089974569
2,4,Child,German,53964,2.5568222603357165,2.54464788060909,2.5567525432433413,2.5701820154193955
3,4,Child,German,53964,2.0673759190070076,2.0539157113689797,2.066794384080144,2.078018827728867
4,4,Child,German,53964,2.926619764400566,2.910025561726011,2.9259948930180317,2.9415285329530976
1,8,Child,German,11159,8.787039346042869,8.76722733653332,8.786405611474066,8.80596761337285
2,8,Child,German,11159,2.521045356553583,2.499961170253708,2.522395419093355,2.5409475906912875
3,8,Child,German,11159,2.077406748358799,2.0417100193194138,2.0766156529959345,2.1080102738791204
4,8,Child,German,11159,2.117918530077968,2.084186336186338,2.1138008198159945,2.149936068431912
5,8,Child,German,11159,2.1918760747590773,2.1620703832240435,2.1915872628345467,2.2234420001533515
6,8,Child,German,11159,2.2357164084115477,2.205446820464097,2.2358551249936527,2.263652621519823
7,8,Child,German,11159,2.7152920169891854,2.6771564022669367,2.7150835566783913,2.7467844817867864
8,8,Child,German,11159,3.26177522289848,3.218797075286947,3.2601060104323114,3.2972573763575963
1,7,Child,German,17114,8.720969196122091,8.704979735992495,8.721106644019466,8.738599266757387
2,7,Child,German,17114,2.4956766050859662,2.47789190400771,2.4960627325241207,2.513464740528547
3,7,Child,German,17114,2.073436600506912,2.053283515401194,2.0774370486547946,2.10004584351314
4,7,Child,German,17114,2.089050035993811,2.0656288107550838,2.09092965133658,2.1136807386711043
5,7,Child,German,17114,2.146403648647956,2.1265500468810448,2.1474843165654924,2.1683892463696006
6,7,Child,German,17114,2.629524784401865,2.604666853045782,2.629857011780054,2.663033313825822
7,7,Child,German,17114,3.2137798779727116,3.1850645473888854,3.211749532843522,3.241418498009182
1,5,Child,German,39335,8.670447037249398,8.662581612812575,8.670992674523424,8.681740209638988
2,5,Child,German,39335,2.5496767525329243,2.538840314837958,2.5508077956920086,2.5620796650938296
3,5,Child,German,39335,1.9375938089978548,1.9239471339671816,1.9370996682341133,1.9489656718187598
4,5,Child,German,39335,2.2183686856652542,2.1987218857641917,2.219061768638174,2.234984015425627
5,5,Child,German,39335,3.0473952996498963,3.0301272344477104,3.0493399505175796,3.0680825197845185
1,6,Child,German,26774,8.680045415887273,8.667350128997635,8.680179000383816,8.694206053753666
2,6,Child,German,26774,2.5232887286944696,2.5101337656497846,2.524017012455006,2.536470511294982
3,6,Child,German,26774,2.0209050202303795,2.005663942593238,2.0209676986886005,2.041725547299264
4,6,Child,German,26774,2.01001785036037,1.9945494583155814,2.0110688399167023,2.030354310711397
5,6,Child,German,26774,2.444786673380421,2.4253567593601435,2.4451630419436174,2.465209449722037
6,6,Child,German,26774,3.1265142218103295,3.104178660163657,3.125555128960379,3.1481608810983674
1,9,Child,German,7257,8.847919317058611,8.819234629299615,8.848586789102647,8.875178471511104
2,9,Child,German,7257,2.477321389655494,2.4534271184941767,2.4778553918315733,2.5013214884011954
3,9,Child,German,7257,2.085653482561715,2.0508842382595955,2.086470316219908,2.124195177223756
4,9,Child,German,7257,2.1391506331739336,2.100312110969346,2.1371974359065256,2.1743737928545706
5,9,Child,German,7257,2.2511918969237805,2.211991753809968,2.2495834963407435,2.286344780911423
6,9,Child,German,7257,2.2924584690263257,2.2539718405781857,2.29017204709695,2.332702842860309
7,9,Child,German,7257,2.265910975644292,2.2230115409838325,2.2647616048465014,2.299952964920207
8,9,Child,German,7257,2.742806763922986,2.695443004854326,2.743996051547119,2.7940868709589046
9,9,Child,German,7257,3.2596400210199334,3.2130419904820697,3.26102768726843,3.303032939923077
1,3,Adult,Spanish,28001,7.674181079418335,7.6642803640043065,7.6734651994778424,7.682529468244921
2,3,Adult,Spanish,28001,1.9395598422492863,1.931552149085444,1.9401624430849238,1.948470766594323
3,3,Adult,Spanish,28001,1.757483398159514,1.7399212254015004,1.760326899939284,1.7783449777573042
1,8,Adult,Spanish,6212,7.637121749783975,7.620912818834233,7.637873080221208,7.654861269099667
2,8,Adult,Spanish,6212,2.0147621482706652,1.9956225718345784,2.014443986629258,2.032605558129103
3,8,Adult,Spanish,6212,1.4357492736056783,1.4100242655841826,1.4354691199287628,1.4621418143932619
4,8,Adult,Spanish,6212,1.3609987849277292,1.340394896403176,1.3616116005946035,1.385246209898113
5,8,Adult,Spanish,6212,1.3645117234892026,1.3416061162449662,1.3646758654504458,1.3859195923381136
6,8,Adult,Spanish,6212,1.320798009998631,1.299944240208871,1.3204285826797417,1.347280955371247
7,8,Adult,Spanish,6212,1.2505194026657787,1.2251611126204192,1.2488800616097004,1.2736734436420725
8,8,Adult,Spanish,6212,1.7669590646347075,1.7293970537460088,1.7658185166408382,1.804332173669906
1,5,Adult,Spanish,18586,7.614282531013764,7.605714858442234,7.614641137787334,7.625136108817523
2,5,Adult,Spanish,18586,2.0079853475690337,1.9969102345420642,2.007297904954767,2.016837798925669
3,5,Adult,Spanish,18586,1.4059792055863554,1.395105785899843,1.4063697375027957,1.4176484824150535
4,5,Adult,Spanish,18586,1.2677392044711855,1.2554836064179438,1.2680599228413205,1.2798116568708067
5,5,Adult,Spanish,18586,1.768026212169192,1.7503203334656212,1.7667818002370872,1.7861378722461267
1,4,Adult,Spanish,24083,7.633415540904196,7.625921915851894,7.6336694775159115,7.642495692394028
2,4,Adult,Spanish,24083,2.014337922837436,2.0048403083156945,2.0135118836273125,2.0251253152316337
3,4,Adult,Spanish,24083,1.2912508086182473,1.2804142318217702,1.290923731628112,1.3006138918833723
4,4,Adult,Spanish,24083,1.7317496729675224,1.7158614349319201,1.7320498778824691,1.750233174725406
1,9,Adult,Spanish,4313,7.663502112525039,7.643126440056509,7.66421243114812,7.683566516260522
2,9,Adult,Spanish,4313,2.039005666494425,2.0191167685456546,2.0387922242321825,2.0633235342978544
3,9,Adult,Spanish,4313,1.4456790469236174,1.418070142962334,1.4442389705361884,1.472026037115413
4,9,Adult,Spanish,4313,1.375533311018224,1.3417928879039347,1.376259480209271,1.4036379945283697
5,9,Adult,Spanish,4313,1.3686194162813219,1.3440330731863215,1.3683996614773035,1.3956838130646894
6,9,Adult,Spanish,4313,1.3536571509982382,1.324638053993877,1.3509559330850693,1.3793982336547683
7,9,Adult,Spanish,4313,1.337792960889318,1.3137008729125847,1.3359242288982842,1.3621664113327325
8,9,Adult,Spanish,4313,1.2547747518356787,1.2285295778088687,1.2552284709560935,1.2817860195939677
9,9,Adult,Spanish,4313,1.8009854085534402,1.766774089169729,1.8000820220370817,1.83567768572075
1,6,Adult,Spanish,13283,7.620801972075685,7.609855533631588,7.621245296473318,7.633174116944616
2,6,Adult,Spanish,13283,1.9937288539107911,1.97856530840835,1.9930438640732764,2.0047538315407136
3,6,Adult,Spanish,13283,1.4030397405719879,1.3888462706326739,1.403479878319806,1.4192188646571156
4,6,Adult,Spanish,13283,1.3729993106819354,1.359741910394843,1.3729118960041746,1.387724060464101
5,6,Adult,Spanish,13283,1.2471385712204663,1.2308913645808581,1.2451532729090422,1.2597239789708428
6,6,Adult,Spanish,13283,1.7719231429771694,1.7454131549528134,1.772350350042464,1.7930787324075246
1,7,Adult,Spanish,9129,7.632347017040205,7.617608894167313,7.632796531794876,7.648132219884179
2,7,Adult,Spanish,9129,2.0264929638124136,2.0106856953054386,2.0255936443104465,2.0406764728527547
3,7,Adult,Spanish,9129,1.4308377010091815,1.405748289082473,1.4278499541197514,1.4474569116270493
4,7,Adult,Spanish,9129,1.3733784437623549,1.355287395568677,1.373759843114825,1.3933885715422774
5,7,Adult,Spanish,9129,1.327585761447062,1.3127272472583735,1.3302198642524288,1.3506129628152834
6,7,Adult,Spanish,9129,1.2416600309518828,1.2258707194753224,1.2421875091426435,1.2603703493754121
7,7,Adult,Spanish,9129,1.787671760160438,1.7611868484118953,1.788548452748123,1.8178734443158724
