size,final_cost,marginal_cost,source,language,gram
2,0.241,-0.28700000000000003,wikipedia,Georgian,unigram
3,0.155,-0.086,wikipedia,Georgian,unigram
4,0.127,-0.027999999999999997,wikipedia,Georgian,unigram
5,0.126,-0.0010000000000000009,wikipedia,Georgian,unigram
6,0.084,-0.041999999999999996,wikipedia,Georgian,unigram
7,0.085,0.0010000000000000009,wikipedia,Georgian,unigram
8,0.087,0.001999999999999988,wikipedia,Georgian,unigram
9,0.083,-0.00399999999999999,wikipedia,Georgian,unigram
10,0.076,-0.007000000000000006,wikipedia,Georgian,unigram
11,0.075,-0.0010000000000000009,wikipedia,Georgian,unigram
12,0.077,0.0020000000000000018,wikipedia,Georgian,unigram
13,0.077,0.0,wikipedia,Georgian,unigram
14,0.077,0.0,wikipedia,Georgian,unigram
2,0.412,0,wikipedia,Georgian,trigram
3,0.35,-0.062,wikipedia,Georgian,trigram
4,0.068,-0.282,wikipedia,Georgian,trigram
5,0.063,-0.0050000000000000044,wikipedia,Georgian,trigram
6,0.047,-0.016,wikipedia,Georgian,trigram
7,0.047,0.0,wikipedia,Georgian,trigram
8,0.047,0.0,wikipedia,Georgian,trigram
9,0.048,0.0010000000000000009,wikipedia,Georgian,trigram
10,0.049,0.0010000000000000009,wikipedia,Georgian,trigram
11,0.049,0.0,wikipedia,Georgian,trigram
12,0.05,0.0010000000000000009,wikipedia,Georgian,trigram
13,0.05,0.0,wikipedia,Georgian,trigram
14,0.05,0.0,wikipedia,Georgian,trigram
1,0.102,0,wikipedia,Uyghur,unigram
2,0.039,-0.063,wikipedia,Uyghur,unigram
3,0.029,-0.009999999999999998,wikipedia,Uyghur,unigram
4,0.026,-0.0030000000000000027,wikipedia,Uyghur,unigram
5,0.025,-0.0009999999999999974,wikipedia,Uyghur,unigram
6,0.024,-0.0010000000000000009,wikipedia,Uyghur,unigram
7,0.024,0.0,wikipedia,Uyghur,unigram
8,0.024,0.0,wikipedia,Uyghur,unigram
9,0.024,0.0,wikipedia,Uyghur,unigram
10,0.021,-0.002999999999999999,wikipedia,Uyghur,unigram
11,0.02,-0.0010000000000000009,wikipedia,Uyghur,unigram
12,0.022,0.0019999999999999983,wikipedia,Uyghur,unigram
13,0.023,0.0010000000000000009,wikipedia,Uyghur,unigram
14,0.023,0.0,wikipedia,Uyghur,unigram
2,0.386,0,wikipedia,Uyghur,trigram
3,0.03,-0.356,wikipedia,Uyghur,trigram
4,0.019,-0.011,wikipedia,Uyghur,trigram
5,0.015,-0.004,wikipedia,Uyghur,trigram
6,0.012,-0.002999999999999999,wikipedia,Uyghur,trigram
7,0.01,-0.002,wikipedia,Uyghur,trigram
